playerId,player,team,conference,category,statType,stat
4870876,Kyler Kasper,Oregon,Pac-12,receiving,YPR,4.0
4431280,Troy Franklin,Oregon,Pac-12,receiving,YPR,14.6
4433973,Seven Mcgee,Oregon,Pac-12,receiving,YDS,67
4426428,Sean Dollars,Oregon,Pac-12,receiving,YDS,143
4429811,Patrick Herbert,Oregon,Pac-12,receiving,YDS,95
4685326,Josh Conerly Jr.,Oregon,Pac-12,receiving,YPR,4.0
4570037,Terrance Ferguson,Oregon,Pac-12,receiving,LONG,53
4433973,Seven Mcgee,Oregon,Pac-12,receiving,LONG,15
4685397,Jordan James,Oregon,Pac-12,receiving,YPR,6.0
4685326,Josh Conerly Jr.,Oregon,Pac-12,receiving,LONG,4
4596448,Mar'Keise Irving,Oregon,Pac-12,receiving,REC,31
4570037,Terrance Ferguson,Oregon,Pac-12,receiving,YPR,12.2
4432775,Dont'E Thornton,Oregon,Pac-12,receiving,REC,17
4372541,Caleb Chapman,Oregon,Pac-12,receiving,YDS,15
4367186,Chase Cota,Oregon,Pac-12,receiving,REC,36
4433968,Byron Cardwell,Oregon,Pac-12,receiving,LONG,13
4038961,Cam McCormick,Oregon,Pac-12,receiving,TD,3
4432631,Noah Whittington,Oregon,Pac-12,receiving,YPR,7.7
4432631,Noah Whittington,Oregon,Pac-12,receiving,LONG,29
4432775,Dont'E Thornton,Oregon,Pac-12,receiving,TD,1
4432731,Moliki Matavao,Oregon,Pac-12,receiving,YDS,134
4426428,Sean Dollars,Oregon,Pac-12,receiving,REC,16
4431280,Troy Franklin,Oregon,Pac-12,receiving,LONG,67
4570037,Terrance Ferguson,Oregon,Pac-12,receiving,TD,5
4426476,Josh Delgado,Oregon,Pac-12,receiving,REC,1
4426476,Josh Delgado,Oregon,Pac-12,receiving,LONG,12
4433973,Seven Mcgee,Oregon,Pac-12,receiving,TD,0
4038961,Cam McCormick,Oregon,Pac-12,receiving,YPR,6.6
4870876,Kyler Kasper,Oregon,Pac-12,receiving,YDS,4
4426428,Sean Dollars,Oregon,Pac-12,receiving,TD,0
4367186,Chase Cota,Oregon,Pac-12,receiving,TD,3
4372541,Caleb Chapman,Oregon,Pac-12,receiving,REC,1
4870876,Kyler Kasper,Oregon,Pac-12,receiving,LONG,4
4433973,Seven Mcgee,Oregon,Pac-12,receiving,YPR,6.1
4431115,Kilohana Haasenritter,Oregon,Pac-12,receiving,LONG,1
4429811,Patrick Herbert,Oregon,Pac-12,receiving,REC,6
4429811,Patrick Herbert,Oregon,Pac-12,receiving,YPR,15.8
4432731,Moliki Matavao,Oregon,Pac-12,receiving,LONG,24
4870876,Kyler Kasper,Oregon,Pac-12,receiving,TD,0
4426338,Bo Nix,Oregon,Pac-12,receiving,REC,2
4431115,Kilohana Haasenritter,Oregon,Pac-12,receiving,YPR,1.0
4570037,Terrance Ferguson,Oregon,Pac-12,receiving,REC,32
4426476,Josh Delgado,Oregon,Pac-12,receiving,YPR,12.0
4367186,Chase Cota,Oregon,Pac-12,receiving,YPR,13.8
4426338,Bo Nix,Oregon,Pac-12,receiving,YDS,36
4431115,Kilohana Haasenritter,Oregon,Pac-12,receiving,YDS,1
4433968,Byron Cardwell,Oregon,Pac-12,receiving,YDS,34
4685326,Josh Conerly Jr.,Oregon,Pac-12,receiving,YDS,4
4429967,Kris Hutson,Oregon,Pac-12,receiving,TD,0
4870876,Kyler Kasper,Oregon,Pac-12,receiving,REC,1
4596448,Mar'Keise Irving,Oregon,Pac-12,receiving,LONG,37
4432775,Dont'E Thornton,Oregon,Pac-12,receiving,YDS,366
4431280,Troy Franklin,Oregon,Pac-12,receiving,YDS,891
4433968,Byron Cardwell,Oregon,Pac-12,receiving,TD,1
4372541,Caleb Chapman,Oregon,Pac-12,receiving,LONG,15
4429811,Patrick Herbert,Oregon,Pac-12,receiving,LONG,40
4426476,Josh Delgado,Oregon,Pac-12,receiving,TD,0
4685326,Josh Conerly Jr.,Oregon,Pac-12,receiving,TD,1
4685397,Jordan James,Oregon,Pac-12,receiving,LONG,6
4432775,Dont'E Thornton,Oregon,Pac-12,receiving,YPR,21.5
4596448,Mar'Keise Irving,Oregon,Pac-12,receiving,YPR,9.6
4429811,Patrick Herbert,Oregon,Pac-12,receiving,TD,1
4429967,Kris Hutson,Oregon,Pac-12,receiving,YPR,10.8
4685326,Josh Conerly Jr.,Oregon,Pac-12,receiving,REC,1
