playerId,player,team,conference,category,statType,stat
3116155,Saeed Blacknall,Penn State,Big Ten,receiving,LONG,77
535604,Akeel Lynch,Penn State,Big Ten,receiving,TD,0
3116150,Mark Allen,Penn State,Big Ten,receiving,REC,4
3116182,DeAndre Thompkins,Penn State,Big Ten,receiving,TD,0
3929652,Brandon Polk,Penn State,Big Ten,receiving,REC,6
3929630,Saquon Barkley,Penn State,Big Ten,receiving,YPR,8.1
3116179,Nick Scott,Penn State,Big Ten,receiving,LONG,22
552330,DaeSean Hamilton,Penn State,Big Ten,receiving,YDS,580
3116165,Chris Godwin,Penn State,Big Ten,receiving,YPR,16.0
535602,Geno Lewis,Penn State,Big Ten,receiving,TD,3
518196,Kyle Carter,Penn State,Big Ten,receiving,YDS,135
3116182,DeAndre Thompkins,Penn State,Big Ten,receiving,REC,3
552330,DaeSean Hamilton,Penn State,Big Ten,receiving,TD,6
518196,Kyle Carter,Penn State,Big Ten,receiving,YPR,9.6
3116164,Mike Gesicki,Penn State,Big Ten,receiving,REC,13
535612,Brent Wilkerson,Penn State,Big Ten,receiving,TD,0
552325,Gregg Garrity,Penn State,Big Ten,receiving,TD,0
518196,Kyle Carter,Penn State,Big Ten,receiving,REC,14
3929652,Brandon Polk,Penn State,Big Ten,receiving,LONG,39
552329,Christian Hackenberg,Penn State,Big Ten,receiving,REC,1
552330,DaeSean Hamilton,Penn State,Big Ten,receiving,LONG,48
3116164,Mike Gesicki,Penn State,Big Ten,receiving,LONG,33
552330,DaeSean Hamilton,Penn State,Big Ten,receiving,YPR,12.9
535602,Geno Lewis,Penn State,Big Ten,receiving,YPR,11.5
3116179,Nick Scott,Penn State,Big Ten,receiving,REC,4
552329,Christian Hackenberg,Penn State,Big Ten,receiving,YPR,14.0
3116165,Chris Godwin,Penn State,Big Ten,receiving,LONG,56
535612,Brent Wilkerson,Penn State,Big Ten,receiving,YDS,39
535604,Akeel Lynch,Penn State,Big Ten,receiving,YDS,8
535602,Geno Lewis,Penn State,Big Ten,receiving,LONG,27
552325,Gregg Garrity,Penn State,Big Ten,receiving,REC,1
3116182,DeAndre Thompkins,Penn State,Big Ten,receiving,YDS,33
552330,DaeSean Hamilton,Penn State,Big Ten,receiving,REC,45
518196,Kyle Carter,Penn State,Big Ten,receiving,LONG,35
3116155,Saeed Blacknall,Penn State,Big Ten,receiving,YPR,31.0
3116165,Chris Godwin,Penn State,Big Ten,receiving,YDS,1101
3929652,Brandon Polk,Penn State,Big Ten,receiving,YDS,57
535612,Brent Wilkerson,Penn State,Big Ten,receiving,REC,6
3929630,Saquon Barkley,Penn State,Big Ten,receiving,REC,20
3116164,Mike Gesicki,Penn State,Big Ten,receiving,YPR,9.6
3116150,Mark Allen,Penn State,Big Ten,receiving,YPR,11.0
3116155,Saeed Blacknall,Penn State,Big Ten,receiving,YDS,248
518196,Kyle Carter,Penn State,Big Ten,receiving,TD,0
3116179,Nick Scott,Penn State,Big Ten,receiving,YPR,10.8
3116150,Mark Allen,Penn State,Big Ten,receiving,LONG,16
552325,Gregg Garrity,Penn State,Big Ten,receiving,YDS,4
3116182,DeAndre Thompkins,Penn State,Big Ten,receiving,YPR,11.0
3929630,Saquon Barkley,Penn State,Big Ten,receiving,TD,1
3929630,Saquon Barkley,Penn State,Big Ten,receiving,LONG,32
535602,Geno Lewis,Penn State,Big Ten,receiving,YDS,196
535604,Akeel Lynch,Penn State,Big Ten,receiving,YPR,2.0
3116155,Saeed Blacknall,Penn State,Big Ten,receiving,TD,1
3116165,Chris Godwin,Penn State,Big Ten,receiving,TD,5
3929630,Saquon Barkley,Penn State,Big Ten,receiving,YDS,161
3116182,DeAndre Thompkins,Penn State,Big Ten,receiving,LONG,31
3116165,Chris Godwin,Penn State,Big Ten,receiving,REC,69
3116150,Mark Allen,Penn State,Big Ten,receiving,TD,1
3929652,Brandon Polk,Penn State,Big Ten,receiving,TD,1
552329,Christian Hackenberg,Penn State,Big Ten,receiving,YDS,14
3116164,Mike Gesicki,Penn State,Big Ten,receiving,YDS,125
3116179,Nick Scott,Penn State,Big Ten,receiving,YDS,43
3116179,Nick Scott,Penn State,Big Ten,receiving,TD,0
3116155,Saeed Blacknall,Penn State,Big Ten,receiving,REC,8
3929652,Brandon Polk,Penn State,Big Ten,receiving,YPR,9.5
552325,Gregg Garrity,Penn State,Big Ten,receiving,YPR,4.0
535604,Akeel Lynch,Penn State,Big Ten,receiving,LONG,6
552329,Christian Hackenberg,Penn State,Big Ten,receiving,TD,1
552329,Christian Hackenberg,Penn State,Big Ten,receiving,LONG,14
3116164,Mike Gesicki,Penn State,Big Ten,receiving,TD,1
3116150,Mark Allen,Penn State,Big Ten,receiving,YDS,44
535612,Brent Wilkerson,Penn State,Big Ten,receiving,YPR,6.5
552325,Gregg Garrity,Penn State,Big Ten,receiving,LONG,4
535604,Akeel Lynch,Penn State,Big Ten,receiving,REC,4
535612,Brent Wilkerson,Penn State,Big Ten,receiving,LONG,9
535602,Geno Lewis,Penn State,Big Ten,receiving,REC,17
