playerId,player,team,conference,category,statType,stat
4574964,Gavin Thomson,Pittsburgh,ACC,receiving,LONG,19
4574964,Gavin Thomson,Pittsburgh,ACC,receiving,TD,0
4427985,Jerrod Means,Pittsburgh,ACC,receiving,TD,2
4710855,Konata Mumpfield,Pittsburgh,ACC,receiving,YPR,9.5
4426455,Ryan Jacoby,Pittsburgh,ACC,receiving,TD,0
4710855,Konata Mumpfield,Pittsburgh,ACC,receiving,TD,1
4568660,Vincent Davis,Pittsburgh,ACC,receiving,YDS,106
4568660,Vincent Davis,Pittsburgh,ACC,receiving,YPR,8.8
4429247,Jaylon Barden,Pittsburgh,ACC,receiving,REC,3
4683111,Jaden Bradley,Pittsburgh,ACC,receiving,YPR,13.0
4683111,Jaden Bradley,Pittsburgh,ACC,receiving,LONG,37
4428940,Kyi Wright,Pittsburgh,ACC,receiving,REC,1
4429247,Jaylon Barden,Pittsburgh,ACC,receiving,YPR,6.3
4710855,Konata Mumpfield,Pittsburgh,ACC,receiving,YDS,551
4429202,Israel Abanikanda,Pittsburgh,ACC,receiving,YPR,12.2
4574964,Gavin Thomson,Pittsburgh,ACC,receiving,YDS,27
4241944,Marcus Minor,Pittsburgh,ACC,receiving,REC,1
4568660,Vincent Davis,Pittsburgh,ACC,receiving,LONG,22
4683111,Jaden Bradley,Pittsburgh,ACC,receiving,REC,10
4430681,Jared Wayne,Pittsburgh,ACC,receiving,REC,60
4241944,Marcus Minor,Pittsburgh,ACC,receiving,YDS,-10
4708049,Gavin Bartholomew,Pittsburgh,ACC,receiving,YPR,13.5
4568658,Daniel Carter,Pittsburgh,ACC,receiving,REC,3
4429914,Karter Johnson,Pittsburgh,ACC,receiving,REC,6
4429202,Israel Abanikanda,Pittsburgh,ACC,receiving,TD,1
4428940,Kyi Wright,Pittsburgh,ACC,receiving,TD,0
4574964,Gavin Thomson,Pittsburgh,ACC,receiving,REC,2
4430681,Jared Wayne,Pittsburgh,ACC,receiving,TD,5
4708049,Gavin Bartholomew,Pittsburgh,ACC,receiving,LONG,57
4430681,Jared Wayne,Pittsburgh,ACC,receiving,YDS,1056
4431328,Rodney Hammond Jr.,Pittsburgh,ACC,receiving,TD,0
4241944,Marcus Minor,Pittsburgh,ACC,receiving,YPR,-10.0
4431328,Rodney Hammond Jr.,Pittsburgh,ACC,receiving,YDS,73
4683111,Jaden Bradley,Pittsburgh,ACC,receiving,TD,2
4574964,Gavin Thomson,Pittsburgh,ACC,receiving,YPR,13.5
4429914,Karter Johnson,Pittsburgh,ACC,receiving,YPR,14.8
4427985,Jerrod Means,Pittsburgh,ACC,receiving,REC,27
4568658,Daniel Carter,Pittsburgh,ACC,receiving,TD,0
4427985,Jerrod Means,Pittsburgh,ACC,receiving,LONG,45
4430681,Jared Wayne,Pittsburgh,ACC,receiving,LONG,66
4429247,Jaylon Barden,Pittsburgh,ACC,receiving,TD,0
4428940,Kyi Wright,Pittsburgh,ACC,receiving,LONG,3
4429247,Jaylon Barden,Pittsburgh,ACC,receiving,YDS,19
4431328,Rodney Hammond Jr.,Pittsburgh,ACC,receiving,YPR,12.2
4241944,Marcus Minor,Pittsburgh,ACC,receiving,LONG,-10
4708049,Gavin Bartholomew,Pittsburgh,ACC,receiving,TD,2
4431328,Rodney Hammond Jr.,Pittsburgh,ACC,receiving,REC,6
4568658,Daniel Carter,Pittsburgh,ACC,receiving,YPR,4.0
4429202,Israel Abanikanda,Pittsburgh,ACC,receiving,LONG,37
4427985,Jerrod Means,Pittsburgh,ACC,receiving,YDS,401
4429914,Karter Johnson,Pittsburgh,ACC,receiving,YDS,89
4431328,Rodney Hammond Jr.,Pittsburgh,ACC,receiving,LONG,49
4426455,Ryan Jacoby,Pittsburgh,ACC,receiving,YDS,3
4429247,Jaylon Barden,Pittsburgh,ACC,receiving,LONG,17
4428940,Kyi Wright,Pittsburgh,ACC,receiving,YDS,3
4429202,Israel Abanikanda,Pittsburgh,ACC,receiving,REC,12
4428940,Kyi Wright,Pittsburgh,ACC,receiving,YPR,3.0
4708049,Gavin Bartholomew,Pittsburgh,ACC,receiving,YDS,283
4568660,Vincent Davis,Pittsburgh,ACC,receiving,REC,12
4426455,Ryan Jacoby,Pittsburgh,ACC,receiving,REC,1
4568660,Vincent Davis,Pittsburgh,ACC,receiving,TD,0
4568658,Daniel Carter,Pittsburgh,ACC,receiving,YDS,12
4429202,Israel Abanikanda,Pittsburgh,ACC,receiving,YDS,146
4426455,Ryan Jacoby,Pittsburgh,ACC,receiving,LONG,3
4710855,Konata Mumpfield,Pittsburgh,ACC,receiving,REC,58
4710855,Konata Mumpfield,Pittsburgh,ACC,receiving,LONG,30
4683111,Jaden Bradley,Pittsburgh,ACC,receiving,YDS,130
4426455,Ryan Jacoby,Pittsburgh,ACC,receiving,YPR,3.0
4429914,Karter Johnson,Pittsburgh,ACC,receiving,TD,0
4241944,Marcus Minor,Pittsburgh,ACC,receiving,TD,0
4429914,Karter Johnson,Pittsburgh,ACC,receiving,LONG,41
4430681,Jared Wayne,Pittsburgh,ACC,receiving,YPR,17.6
4708049,Gavin Bartholomew,Pittsburgh,ACC,receiving,REC,21
4568658,Daniel Carter,Pittsburgh,ACC,receiving,LONG,8
4427985,Jerrod Means,Pittsburgh,ACC,receiving,YPR,14.9
