playerId,player,team,conference,category,statType,stat
4693184,Andrew Sowinski,Purdue,Big Ten,receiving,YDS,15
4570409,David Bell,Purdue,Big Ten,receiving,LONG,60
4428651,Broc Thompson,Purdue,Big Ten,receiving,YDS,457
4430470,TJ Sheffield,Purdue,Big Ten,receiving,YDS,325
4428936,Kyle Bilodeau,Purdue,Big Ten,receiving,TD,0
4570409,David Bell,Purdue,Big Ten,receiving,YDS,1286
4035721,Jackson Anthrop,Purdue,Big Ten,receiving,YPR,10.8
4683151,Deion Burks,Purdue,Big Ten,receiving,LONG,26
4693184,Andrew Sowinski,Purdue,Big Ten,receiving,YPR,7.5
4426504,Milton Wright,Purdue,Big Ten,receiving,YDS,732
4431279,Marcellus Moore,Purdue,Big Ten,receiving,YPR,11.0
4426504,Milton Wright,Purdue,Big Ten,receiving,REC,57
4430854,Collin Sullivan,Purdue,Big Ten,receiving,TD,0
4700811,Ja'Quez Cross,Purdue,Big Ten,receiving,YPR,6.0
4430470,TJ Sheffield,Purdue,Big Ten,receiving,TD,5
4428936,Kyle Bilodeau,Purdue,Big Ten,receiving,REC,2
4035721,Jackson Anthrop,Purdue,Big Ten,receiving,REC,53
4430854,Collin Sullivan,Purdue,Big Ten,receiving,YPR,4.0
4429527,King Doerue,Purdue,Big Ten,receiving,REC,20
4428651,Broc Thompson,Purdue,Big Ten,receiving,YPR,15.2
4429527,King Doerue,Purdue,Big Ten,receiving,LONG,46
4431398,Dylan Downing,Purdue,Big Ten,receiving,TD,0
4429527,King Doerue,Purdue,Big Ten,receiving,YDS,156
4260406,Alexander Horvath,Purdue,Big Ten,receiving,LONG,26
4035721,Jackson Anthrop,Purdue,Big Ten,receiving,TD,5
4429846,Spencer Holstege,Purdue,Big Ten,receiving,YPR,-3.0
4429527,King Doerue,Purdue,Big Ten,receiving,YPR,7.8
4590632,Alex Maxwell,Purdue,Big Ten,receiving,YDS,9
4372505,Payne Durham,Purdue,Big Ten,receiving,TD,6
4590632,Alex Maxwell,Purdue,Big Ten,receiving,YPR,9.0
4260406,Alexander Horvath,Purdue,Big Ten,receiving,YPR,6.4
4428337,Mershawn Rice,Purdue,Big Ten,receiving,YPR,11.5
4590632,Alex Maxwell,Purdue,Big Ten,receiving,TD,0
4570417,Garrett Miller,Purdue,Big Ten,receiving,REC,19
4570409,David Bell,Purdue,Big Ten,receiving,YPR,13.8
4433940,Abdur-Rahmaan Yaseen,Purdue,Big Ten,receiving,LONG,43
4433940,Abdur-Rahmaan Yaseen,Purdue,Big Ten,receiving,REC,5
4683151,Deion Burks,Purdue,Big Ten,receiving,YPR,26.0
4693184,Andrew Sowinski,Purdue,Big Ten,receiving,TD,0
4260406,Alexander Horvath,Purdue,Big Ten,receiving,YDS,108
4430470,TJ Sheffield,Purdue,Big Ten,receiving,REC,36
4693184,Andrew Sowinski,Purdue,Big Ten,receiving,REC,2
4372507,Jack Cravaack,Purdue,Big Ten,receiving,REC,1
4430854,Collin Sullivan,Purdue,Big Ten,receiving,REC,1
4372505,Payne Durham,Purdue,Big Ten,receiving,YDS,467
4372507,Jack Cravaack,Purdue,Big Ten,receiving,LONG,7
4428651,Broc Thompson,Purdue,Big Ten,receiving,TD,4
4429846,Spencer Holstege,Purdue,Big Ten,receiving,YDS,-3
4429527,King Doerue,Purdue,Big Ten,receiving,TD,0
4570417,Garrett Miller,Purdue,Big Ten,receiving,TD,0
4428936,Kyle Bilodeau,Purdue,Big Ten,receiving,LONG,5
4372507,Jack Cravaack,Purdue,Big Ten,receiving,TD,0
4260406,Alexander Horvath,Purdue,Big Ten,receiving,REC,17
4428337,Mershawn Rice,Purdue,Big Ten,receiving,TD,1
4429846,Spencer Holstege,Purdue,Big Ten,receiving,TD,0
4428651,Broc Thompson,Purdue,Big Ten,receiving,LONG,75
4428244,Paul Piferi,Purdue,Big Ten,receiving,YDS,61
4372505,Payne Durham,Purdue,Big Ten,receiving,LONG,62
4428244,Paul Piferi,Purdue,Big Ten,receiving,TD,1
4428244,Paul Piferi,Purdue,Big Ten,receiving,YPR,12.2
4426504,Milton Wright,Purdue,Big Ten,receiving,LONG,53
4431398,Dylan Downing,Purdue,Big Ten,receiving,YDS,49
4426504,Milton Wright,Purdue,Big Ten,receiving,TD,7
4372505,Payne Durham,Purdue,Big Ten,receiving,YPR,10.4
4693184,Andrew Sowinski,Purdue,Big Ten,receiving,LONG,8
4372505,Payne Durham,Purdue,Big Ten,receiving,REC,45
4426504,Milton Wright,Purdue,Big Ten,receiving,YPR,12.8
4430470,TJ Sheffield,Purdue,Big Ten,receiving,LONG,38
4570417,Garrett Miller,Purdue,Big Ten,receiving,LONG,25
4683151,Deion Burks,Purdue,Big Ten,receiving,TD,0
4570409,David Bell,Purdue,Big Ten,receiving,REC,93
4570417,Garrett Miller,Purdue,Big Ten,receiving,YPR,8.7
4700811,Ja'Quez Cross,Purdue,Big Ten,receiving,LONG,6
4431279,Marcellus Moore,Purdue,Big Ten,receiving,REC,1
