playerId,player,team,conference,category,statType,stat
4039169,Rhett Cardwell,Rice,Conference USA,receiving,YDS,58
4039159,Aaron Cephus,Rice,Conference USA,receiving,YDS,565
4039159,Aaron Cephus,Rice,Conference USA,receiving,REC,40
4039159,Aaron Cephus,Rice,Conference USA,receiving,YPR,14.1
4039154,Jordan Myers,Rice,Conference USA,receiving,REC,15
4039169,Rhett Cardwell,Rice,Conference USA,receiving,TD,0
4039154,Jordan Myers,Rice,Conference USA,receiving,YDS,241
3123857,Austin Walter,Rice,Conference USA,receiving,TD,2
4362530,Brendan Harmon,Rice,Conference USA,receiving,LONG,14
4039154,Jordan Myers,Rice,Conference USA,receiving,YPR,16.1
3916361,Justin Bickham,Rice,Conference USA,receiving,YPR,34.0
3123854,Aston Walter,Rice,Conference USA,receiving,LONG,37
4362530,Brendan Harmon,Rice,Conference USA,receiving,REC,10
4244858,Austin Conrad,Rice,Conference USA,receiving,YDS,16
4039156,D Angelo Ellis,Rice,Conference USA,receiving,LONG,27
4039169,Rhett Cardwell,Rice,Conference USA,receiving,REC,11
3140639,Giovanni Gentosi,Rice,Conference USA,receiving,YDS,27
4039169,Rhett Cardwell,Rice,Conference USA,receiving,LONG,13
4244877,Jaeger Bull,Rice,Conference USA,receiving,REC,5
4244858,Austin Conrad,Rice,Conference USA,receiving,TD,0
4244877,Jaeger Bull,Rice,Conference USA,receiving,TD,1
3140639,Giovanni Gentosi,Rice,Conference USA,receiving,LONG,10
3123854,Aston Walter,Rice,Conference USA,receiving,YDS,52
4244858,Austin Conrad,Rice,Conference USA,receiving,LONG,16
4039156,D Angelo Ellis,Rice,Conference USA,receiving,YPR,20.5
4039154,Jordan Myers,Rice,Conference USA,receiving,TD,1
4244877,Jaeger Bull,Rice,Conference USA,receiving,LONG,10
3123857,Austin Walter,Rice,Conference USA,receiving,LONG,68
4362530,Brendan Harmon,Rice,Conference USA,receiving,TD,1
4244877,Jaeger Bull,Rice,Conference USA,receiving,YPR,5.2
4039156,D Angelo Ellis,Rice,Conference USA,receiving,YDS,82
3916361,Justin Bickham,Rice,Conference USA,receiving,LONG,60
4244856,Austin Trammell,Rice,Conference USA,receiving,LONG,53
4244856,Austin Trammell,Rice,Conference USA,receiving,YPR,10.2
3140639,Giovanni Gentosi,Rice,Conference USA,receiving,TD,0
4244856,Austin Trammell,Rice,Conference USA,receiving,TD,3
4039156,D Angelo Ellis,Rice,Conference USA,receiving,TD,0
4244856,Austin Trammell,Rice,Conference USA,receiving,REC,62
4244877,Jaeger Bull,Rice,Conference USA,receiving,YDS,26
3916361,Justin Bickham,Rice,Conference USA,receiving,TD,0
4039154,Jordan Myers,Rice,Conference USA,receiving,LONG,60
4362530,Brendan Harmon,Rice,Conference USA,receiving,YPR,6.4
3140639,Giovanni Gentosi,Rice,Conference USA,receiving,YPR,6.8
3123854,Aston Walter,Rice,Conference USA,receiving,YPR,26.0
3123857,Austin Walter,Rice,Conference USA,receiving,YDS,525
3123857,Austin Walter,Rice,Conference USA,receiving,YPR,11.9
3916361,Justin Bickham,Rice,Conference USA,receiving,REC,2
4244858,Austin Conrad,Rice,Conference USA,receiving,YPR,16.0
4039169,Rhett Cardwell,Rice,Conference USA,receiving,YPR,5.3
3140639,Giovanni Gentosi,Rice,Conference USA,receiving,REC,4
3123854,Aston Walter,Rice,Conference USA,receiving,REC,2
4039159,Aaron Cephus,Rice,Conference USA,receiving,LONG,41
4244858,Austin Conrad,Rice,Conference USA,receiving,REC,1
4362530,Brendan Harmon,Rice,Conference USA,receiving,YDS,64
4039156,D Angelo Ellis,Rice,Conference USA,receiving,REC,4
4244856,Austin Trammell,Rice,Conference USA,receiving,YDS,632
4039159,Aaron Cephus,Rice,Conference USA,receiving,TD,5
3123857,Austin Walter,Rice,Conference USA,receiving,REC,44
3916361,Justin Bickham,Rice,Conference USA,receiving,YDS,68
3123854,Aston Walter,Rice,Conference USA,receiving,TD,0
