playerId,player,team,conference,category,statType,stat
483119,Mark Harrison,Rutgers,Big East,receiving,REC,14
483132,Mohamed Sanu,Rutgers,Big East,receiving,YDS,1206
483113,Paul Carrezola,Rutgers,Big East,receiving,YDS,35
483113,Paul Carrezola,Rutgers,Big East,receiving,YPR,8.8
503832,Brandon Coleman,Rutgers,Big East,receiving,TD,6
518344,Gary Nova,Rutgers,Big East,receiving,TD,0
518344,Gary Nova,Rutgers,Big East,receiving,REC,1
382162,D.C. Jefferson,Rutgers,Big East,receiving,YPR,9.8
512840,Savon Huggins,Rutgers,Big East,receiving,TD,0
503831,Michael Burton,Rutgers,Big East,receiving,REC,10
382178,Timothy Wright,Rutgers,Big East,receiving,REC,11
518344,Gary Nova,Rutgers,Big East,receiving,LONG,9
483113,Paul Carrezola,Rutgers,Big East,receiving,TD,1
238832,Joe Martinek,Rutgers,Big East,receiving,YPR,9.7
238832,Joe Martinek,Rutgers,Big East,receiving,REC,27
503832,Brandon Coleman,Rutgers,Big East,receiving,REC,17
382178,Timothy Wright,Rutgers,Big East,receiving,TD,2
518344,Gary Nova,Rutgers,Big East,receiving,YPR,9.0
503833,Jeremy Deering,Rutgers,Big East,receiving,LONG,37
503833,Jeremy Deering,Rutgers,Big East,receiving,YDS,65
503841,Jawan Jamison,Rutgers,Big East,receiving,YDS,62
503831,Michael Burton,Rutgers,Big East,receiving,TD,1
503832,Brandon Coleman,Rutgers,Big East,receiving,LONG,92
483130,Quron Pratt,Rutgers,Big East,receiving,TD,1
503841,Jawan Jamison,Rutgers,Big East,receiving,REC,8
503831,Michael Burton,Rutgers,Big East,receiving,LONG,13
512840,Savon Huggins,Rutgers,Big East,receiving,LONG,11
483132,Mohamed Sanu,Rutgers,Big East,receiving,REC,115
238832,Joe Martinek,Rutgers,Big East,receiving,TD,1
382178,Timothy Wright,Rutgers,Big East,receiving,LONG,25
382178,Timothy Wright,Rutgers,Big East,receiving,YPR,13.4
483132,Mohamed Sanu,Rutgers,Big East,receiving,LONG,32
503831,Michael Burton,Rutgers,Big East,receiving,YPR,6.8
483119,Mark Harrison,Rutgers,Big East,receiving,LONG,45
483130,Quron Pratt,Rutgers,Big East,receiving,YPR,10.2
382178,Timothy Wright,Rutgers,Big East,receiving,YDS,147
503832,Brandon Coleman,Rutgers,Big East,receiving,YPR,32.5
503841,Jawan Jamison,Rutgers,Big East,receiving,LONG,22
483113,Paul Carrezola,Rutgers,Big East,receiving,LONG,12
483130,Quron Pratt,Rutgers,Big East,receiving,YDS,327
512840,Savon Huggins,Rutgers,Big East,receiving,REC,1
483132,Mohamed Sanu,Rutgers,Big East,receiving,TD,7
512840,Savon Huggins,Rutgers,Big East,receiving,YDS,11
483119,Mark Harrison,Rutgers,Big East,receiving,TD,2
382162,D.C. Jefferson,Rutgers,Big East,receiving,TD,0
483130,Quron Pratt,Rutgers,Big East,receiving,REC,32
483113,Paul Carrezola,Rutgers,Big East,receiving,REC,4
512840,Savon Huggins,Rutgers,Big East,receiving,YPR,11.0
503833,Jeremy Deering,Rutgers,Big East,receiving,REC,4
503833,Jeremy Deering,Rutgers,Big East,receiving,TD,0
503833,Jeremy Deering,Rutgers,Big East,receiving,YPR,16.3
503832,Brandon Coleman,Rutgers,Big East,receiving,YDS,552
382162,D.C. Jefferson,Rutgers,Big East,receiving,REC,12
503841,Jawan Jamison,Rutgers,Big East,receiving,TD,0
503831,Michael Burton,Rutgers,Big East,receiving,YDS,68
503841,Jawan Jamison,Rutgers,Big East,receiving,YPR,7.8
483130,Quron Pratt,Rutgers,Big East,receiving,LONG,21
238832,Joe Martinek,Rutgers,Big East,receiving,LONG,60
382162,D.C. Jefferson,Rutgers,Big East,receiving,YDS,118
483132,Mohamed Sanu,Rutgers,Big East,receiving,YPR,10.5
382162,D.C. Jefferson,Rutgers,Big East,receiving,LONG,18
518344,Gary Nova,Rutgers,Big East,receiving,YDS,9
238832,Joe Martinek,Rutgers,Big East,receiving,YDS,262
483119,Mark Harrison,Rutgers,Big East,receiving,YDS,274
483119,Mark Harrison,Rutgers,Big East,receiving,YPR,19.6
