playerId,player,team,conference,category,statType,stat
4243826,Tre Siggers,SMU,American Athletic,receiving,REC,9
4426689,Ulysses Bentley IV,SMU,American Athletic,receiving,TD,1
4594446,Roderick Daniels,SMU,American Athletic,receiving,REC,17
4426689,Ulysses Bentley IV,SMU,American Athletic,receiving,YPR,4.7
4241888,Reggie Roberson Jr.,SMU,American Athletic,receiving,TD,6
4568586,Beau Barker,SMU,American Athletic,receiving,REC,1
4030676,Tommy McIntyre,SMU,American Athletic,receiving,YPR,15.3
4680023,Brandon Epton Jr.,SMU,American Athletic,receiving,LONG,10
4360559,Ben Redding,SMU,American Athletic,receiving,LONG,5
4243765,Austin Upshaw,SMU,American Athletic,receiving,LONG,14
4427925,Nolan Matthews,SMU,American Athletic,receiving,TD,2
4568583,Tyler Lavine,SMU,American Athletic,receiving,REC,10
4243826,Tre Siggers,SMU,American Athletic,receiving,YDS,56
4030676,Tommy McIntyre,SMU,American Athletic,receiving,REC,4
4243765,Austin Upshaw,SMU,American Athletic,receiving,YPR,7.4
4568583,Tyler Lavine,SMU,American Athletic,receiving,YPR,11.3
4241374,Grant Calcaterra,SMU,American Athletic,receiving,YPR,12.2
4243765,Austin Upshaw,SMU,American Athletic,receiving,YDS,103
4241374,Grant Calcaterra,SMU,American Athletic,receiving,YDS,465
4426689,Ulysses Bentley IV,SMU,American Athletic,receiving,LONG,24
4429981,Jordan Kerley,SMU,American Athletic,receiving,YPR,16.4
4568583,Tyler Lavine,SMU,American Athletic,receiving,TD,1
4689546,Danny Gray,SMU,American Athletic,receiving,YDS,803
4428331,Rashee Rice,SMU,American Athletic,receiving,LONG,62
4241374,Grant Calcaterra,SMU,American Athletic,receiving,TD,4
4594446,Roderick Daniels,SMU,American Athletic,receiving,TD,1
4568583,Tyler Lavine,SMU,American Athletic,receiving,YDS,113
4243826,Tre Siggers,SMU,American Athletic,receiving,LONG,50
4360559,Ben Redding,SMU,American Athletic,receiving,YPR,5.0
4589233,Dylan Goffney,SMU,American Athletic,receiving,TD,0
4568586,Beau Barker,SMU,American Athletic,receiving,YDS,21
4427925,Nolan Matthews,SMU,American Athletic,receiving,YDS,84
4241888,Reggie Roberson Jr.,SMU,American Athletic,receiving,YDS,625
4429981,Jordan Kerley,SMU,American Athletic,receiving,REC,12
4427925,Nolan Matthews,SMU,American Athletic,receiving,REC,8
4360559,Ben Redding,SMU,American Athletic,receiving,TD,0
4241888,Reggie Roberson Jr.,SMU,American Athletic,receiving,YPR,12.3
4429675,Simon Gonzalez,SMU,American Athletic,receiving,LONG,11
4427925,Nolan Matthews,SMU,American Athletic,receiving,LONG,31
4680023,Brandon Epton Jr.,SMU,American Athletic,receiving,TD,0
4429981,Jordan Kerley,SMU,American Athletic,receiving,LONG,43
4241888,Reggie Roberson Jr.,SMU,American Athletic,receiving,REC,51
4428331,Rashee Rice,SMU,American Athletic,receiving,REC,64
4429675,Simon Gonzalez,SMU,American Athletic,receiving,YDS,11
4589233,Dylan Goffney,SMU,American Athletic,receiving,LONG,22
4429675,Simon Gonzalez,SMU,American Athletic,receiving,TD,0
4241374,Grant Calcaterra,SMU,American Athletic,receiving,REC,38
4594446,Roderick Daniels,SMU,American Athletic,receiving,YPR,12.3
4689546,Danny Gray,SMU,American Athletic,receiving,LONG,68
4594446,Roderick Daniels,SMU,American Athletic,receiving,LONG,44
4689546,Danny Gray,SMU,American Athletic,receiving,REC,49
4589233,Dylan Goffney,SMU,American Athletic,receiving,YPR,9.4
4243765,Austin Upshaw,SMU,American Athletic,receiving,REC,14
4568586,Beau Barker,SMU,American Athletic,receiving,TD,0
4243765,Austin Upshaw,SMU,American Athletic,receiving,TD,0
4429981,Jordan Kerley,SMU,American Athletic,receiving,YDS,197
4429981,Jordan Kerley,SMU,American Athletic,receiving,TD,4
4680023,Brandon Epton Jr.,SMU,American Athletic,receiving,YPR,10.0
4429675,Simon Gonzalez,SMU,American Athletic,receiving,YPR,11.0
4243826,Tre Siggers,SMU,American Athletic,receiving,TD,1
4428331,Rashee Rice,SMU,American Athletic,receiving,TD,9
4030676,Tommy McIntyre,SMU,American Athletic,receiving,YDS,61
4428331,Rashee Rice,SMU,American Athletic,receiving,YPR,10.5
4689546,Danny Gray,SMU,American Athletic,receiving,TD,9
4689546,Danny Gray,SMU,American Athletic,receiving,YPR,16.4
4568586,Beau Barker,SMU,American Athletic,receiving,YPR,21.0
4568586,Beau Barker,SMU,American Athletic,receiving,LONG,21
4680023,Brandon Epton Jr.,SMU,American Athletic,receiving,REC,1
4428331,Rashee Rice,SMU,American Athletic,receiving,YDS,670
4589233,Dylan Goffney,SMU,American Athletic,receiving,REC,14
4030676,Tommy McIntyre,SMU,American Athletic,receiving,LONG,24
4429675,Simon Gonzalez,SMU,American Athletic,receiving,REC,1
4568583,Tyler Lavine,SMU,American Athletic,receiving,LONG,44
4241888,Reggie Roberson Jr.,SMU,American Athletic,receiving,LONG,66
4427925,Nolan Matthews,SMU,American Athletic,receiving,YPR,10.5
4360559,Ben Redding,SMU,American Athletic,receiving,REC,1
4030676,Tommy McIntyre,SMU,American Athletic,receiving,TD,1
4680023,Brandon Epton Jr.,SMU,American Athletic,receiving,YDS,10
4426689,Ulysses Bentley IV,SMU,American Athletic,receiving,YDS,90
4360559,Ben Redding,SMU,American Athletic,receiving,YDS,5
4589233,Dylan Goffney,SMU,American Athletic,receiving,YDS,131
4426689,Ulysses Bentley IV,SMU,American Athletic,receiving,REC,19
4241374,Grant Calcaterra,SMU,American Athletic,receiving,LONG,29
4594446,Roderick Daniels,SMU,American Athletic,receiving,YDS,209
4243826,Tre Siggers,SMU,American Athletic,receiving,YPR,6.2
