playerId,player,team,conference,category,statType,stat
518180,Chase Price,San Diego State,Mountain West,receiving,LONG,14
547570,Quinn Kaehler,San Diego State,Mountain West,receiving,YPR,15.0
534388,Daniel Brunskill,San Diego State,Mountain West,receiving,LONG,12
502956,Ezell Ruffin,San Diego State,Mountain West,receiving,TD,2
547571,Donnel Pumphrey,San Diego State,Mountain West,receiving,YDS,160
547570,Quinn Kaehler,San Diego State,Mountain West,receiving,TD,0
547570,Quinn Kaehler,San Diego State,Mountain West,receiving,LONG,15
518159,Larry Clark,San Diego State,Mountain West,receiving,LONG,32
534185,Lloyd Mills,San Diego State,Mountain West,receiving,REC,22
503051,Lucky Radley,San Diego State,Mountain West,receiving,YDS,5
518180,Chase Price,San Diego State,Mountain West,receiving,YPR,7.4
3139946,Mikah Holder,San Diego State,Mountain West,receiving,LONG,15
3139946,Mikah Holder,San Diego State,Mountain West,receiving,REC,5
518180,Chase Price,San Diego State,Mountain West,receiving,TD,0
503051,Lucky Radley,San Diego State,Mountain West,receiving,REC,1
547567,Chase Favreau,San Diego State,Mountain West,receiving,YPR,27.5
518169,Jemond Hazely,San Diego State,Mountain West,receiving,TD,1
3125238,Dakota Gordon,San Diego State,Mountain West,receiving,YPR,8.3
534388,Daniel Brunskill,San Diego State,Mountain West,receiving,YDS,31
518161,Robert Craighead,San Diego State,Mountain West,receiving,YDS,42
518161,Robert Craighead,San Diego State,Mountain West,receiving,YPR,10.5
547567,Chase Favreau,San Diego State,Mountain West,receiving,REC,2
503051,Lucky Radley,San Diego State,Mountain West,receiving,YPR,5.0
503051,Lucky Radley,San Diego State,Mountain West,receiving,TD,0
518161,Robert Craighead,San Diego State,Mountain West,receiving,LONG,27
534388,Daniel Brunskill,San Diego State,Mountain West,receiving,YPR,6.2
534393,Eric Judge,San Diego State,Mountain West,receiving,REC,24
518169,Jemond Hazely,San Diego State,Mountain West,receiving,LONG,45
503051,Lucky Radley,San Diego State,Mountain West,receiving,LONG,5
534393,Eric Judge,San Diego State,Mountain West,receiving,YPR,19.6
547571,Donnel Pumphrey,San Diego State,Mountain West,receiving,YPR,7.0
518179,Paul Pitts III,San Diego State,Mountain West,receiving,YPR,11.5
518159,Larry Clark,San Diego State,Mountain West,receiving,REC,17
518161,Robert Craighead,San Diego State,Mountain West,receiving,TD,1
518181,Adam Roberts,San Diego State,Mountain West,receiving,YDS,133
518181,Adam Roberts,San Diego State,Mountain West,receiving,YPR,9.5
534185,Lloyd Mills,San Diego State,Mountain West,receiving,TD,1
518159,Larry Clark,San Diego State,Mountain West,receiving,YPR,14.2
3139946,Mikah Holder,San Diego State,Mountain West,receiving,YDS,53
518169,Jemond Hazely,San Diego State,Mountain West,receiving,YPR,13.3
518169,Jemond Hazely,San Diego State,Mountain West,receiving,YDS,173
534388,Daniel Brunskill,San Diego State,Mountain West,receiving,TD,1
518180,Chase Price,San Diego State,Mountain West,receiving,REC,17
3125238,Dakota Gordon,San Diego State,Mountain West,receiving,REC,7
547570,Quinn Kaehler,San Diego State,Mountain West,receiving,YDS,15
518161,Robert Craighead,San Diego State,Mountain West,receiving,REC,4
502956,Ezell Ruffin,San Diego State,Mountain West,receiving,YPR,16.2
547567,Chase Favreau,San Diego State,Mountain West,receiving,LONG,42
534185,Lloyd Mills,San Diego State,Mountain West,receiving,YDS,310
3125238,Dakota Gordon,San Diego State,Mountain West,receiving,LONG,24
547571,Donnel Pumphrey,San Diego State,Mountain West,receiving,LONG,31
534393,Eric Judge,San Diego State,Mountain West,receiving,TD,2
3139946,Mikah Holder,San Diego State,Mountain West,receiving,TD,0
502956,Ezell Ruffin,San Diego State,Mountain West,receiving,YDS,422
547571,Donnel Pumphrey,San Diego State,Mountain West,receiving,REC,23
518179,Paul Pitts III,San Diego State,Mountain West,receiving,YDS,23
502956,Ezell Ruffin,San Diego State,Mountain West,receiving,REC,26
518159,Larry Clark,San Diego State,Mountain West,receiving,YDS,242
518181,Adam Roberts,San Diego State,Mountain West,receiving,LONG,19
518180,Chase Price,San Diego State,Mountain West,receiving,YDS,126
518159,Larry Clark,San Diego State,Mountain West,receiving,TD,0
3125238,Dakota Gordon,San Diego State,Mountain West,receiving,YDS,58
547567,Chase Favreau,San Diego State,Mountain West,receiving,YDS,55
3125238,Dakota Gordon,San Diego State,Mountain West,receiving,TD,0
534393,Eric Judge,San Diego State,Mountain West,receiving,YDS,471
518179,Paul Pitts III,San Diego State,Mountain West,receiving,TD,0
518169,Jemond Hazely,San Diego State,Mountain West,receiving,REC,13
518179,Paul Pitts III,San Diego State,Mountain West,receiving,LONG,18
534388,Daniel Brunskill,San Diego State,Mountain West,receiving,REC,5
547567,Chase Favreau,San Diego State,Mountain West,receiving,TD,0
518181,Adam Roberts,San Diego State,Mountain West,receiving,REC,14
534393,Eric Judge,San Diego State,Mountain West,receiving,LONG,58
3139946,Mikah Holder,San Diego State,Mountain West,receiving,YPR,10.6
547571,Donnel Pumphrey,San Diego State,Mountain West,receiving,TD,0
534185,Lloyd Mills,San Diego State,Mountain West,receiving,LONG,45
518179,Paul Pitts III,San Diego State,Mountain West,receiving,REC,2
547570,Quinn Kaehler,San Diego State,Mountain West,receiving,REC,1
518181,Adam Roberts,San Diego State,Mountain West,receiving,TD,2
534185,Lloyd Mills,San Diego State,Mountain West,receiving,YPR,14.1
502956,Ezell Ruffin,San Diego State,Mountain West,receiving,LONG,59
