playerId,player,team,conference,category,statType,stat
532170,Terrance Timmons,South Alabama,Sun Belt,receiving,YDS,46
532160,Cameron Broadnax,South Alabama,Sun Belt,receiving,YPR,7.0
532170,Terrance Timmons,South Alabama,Sun Belt,receiving,TD,0
508159,Kendall Houston,South Alabama,Sun Belt,receiving,YPR,4.3
532160,Cameron Broadnax,South Alabama,Sun Belt,receiving,TD,0
508172,Corey Waldon,South Alabama,Sun Belt,receiving,REC,9
508170,Bryant Lavender,South Alabama,Sun Belt,receiving,REC,41
512232,Demetre Baker,South Alabama,Sun Belt,receiving,YPR,8.3
508167,Corey Besteda,South Alabama,Sun Belt,receiving,REC,28
537388,Jeremé Jones,South Alabama,Sun Belt,receiving,YPR,11.4
508244,Greg Hollinger,South Alabama,Sun Belt,receiving,REC,22
508170,Bryant Lavender,South Alabama,Sun Belt,receiving,YDS,378
508193,Desmond Jones,South Alabama,Sun Belt,receiving,LONG,11
508244,Greg Hollinger,South Alabama,Sun Belt,receiving,YPR,14.6
508159,Kendall Houston,South Alabama,Sun Belt,receiving,LONG,14
508172,Corey Waldon,South Alabama,Sun Belt,receiving,TD,0
508167,Corey Besteda,South Alabama,Sun Belt,receiving,YDS,430
532170,Terrance Timmons,South Alabama,Sun Belt,receiving,REC,7
508193,Desmond Jones,South Alabama,Sun Belt,receiving,YDS,21
532170,Terrance Timmons,South Alabama,Sun Belt,receiving,YPR,6.6
508172,Corey Waldon,South Alabama,Sun Belt,receiving,YPR,9.8
512217,Gabe Loper,South Alabama,Sun Belt,receiving,YDS,281
508285,Jared Palmer,South Alabama,Sun Belt,receiving,TD,0
508172,Corey Waldon,South Alabama,Sun Belt,receiving,YDS,88
508163,T.J. Glover,South Alabama,Sun Belt,receiving,TD,0
532169,Wes Saxton,South Alabama,Sun Belt,receiving,LONG,30
508163,T.J. Glover,South Alabama,Sun Belt,receiving,REC,27
508285,Jared Palmer,South Alabama,Sun Belt,receiving,LONG,1
537388,Jeremé Jones,South Alabama,Sun Belt,receiving,TD,7
532169,Wes Saxton,South Alabama,Sun Belt,receiving,YDS,336
508244,Greg Hollinger,South Alabama,Sun Belt,receiving,YDS,321
512232,Demetre Baker,South Alabama,Sun Belt,receiving,REC,7
508159,Kendall Houston,South Alabama,Sun Belt,receiving,REC,8
532169,Wes Saxton,South Alabama,Sun Belt,receiving,REC,26
532169,Wes Saxton,South Alabama,Sun Belt,receiving,YPR,12.9
532170,Terrance Timmons,South Alabama,Sun Belt,receiving,LONG,16
508193,Desmond Jones,South Alabama,Sun Belt,receiving,TD,1
532160,Cameron Broadnax,South Alabama,Sun Belt,receiving,LONG,9
537388,Jeremé Jones,South Alabama,Sun Belt,receiving,REC,45
537388,Jeremé Jones,South Alabama,Sun Belt,receiving,LONG,34
508193,Desmond Jones,South Alabama,Sun Belt,receiving,REC,3
508167,Corey Besteda,South Alabama,Sun Belt,receiving,LONG,75
508167,Corey Besteda,South Alabama,Sun Belt,receiving,TD,2
508170,Bryant Lavender,South Alabama,Sun Belt,receiving,LONG,27
512217,Gabe Loper,South Alabama,Sun Belt,receiving,LONG,45
508244,Greg Hollinger,South Alabama,Sun Belt,receiving,LONG,48
508170,Bryant Lavender,South Alabama,Sun Belt,receiving,YPR,9.2
532169,Wes Saxton,South Alabama,Sun Belt,receiving,TD,1
508285,Jared Palmer,South Alabama,Sun Belt,receiving,YDS,2
508159,Kendall Houston,South Alabama,Sun Belt,receiving,YDS,34
532160,Cameron Broadnax,South Alabama,Sun Belt,receiving,YDS,14
508163,T.J. Glover,South Alabama,Sun Belt,receiving,LONG,39
508163,T.J. Glover,South Alabama,Sun Belt,receiving,YPR,7.6
512232,Demetre Baker,South Alabama,Sun Belt,receiving,LONG,28
512217,Gabe Loper,South Alabama,Sun Belt,receiving,YPR,16.5
508285,Jared Palmer,South Alabama,Sun Belt,receiving,REC,2
512217,Gabe Loper,South Alabama,Sun Belt,receiving,REC,17
508159,Kendall Houston,South Alabama,Sun Belt,receiving,TD,1
512232,Demetre Baker,South Alabama,Sun Belt,receiving,YDS,58
512217,Gabe Loper,South Alabama,Sun Belt,receiving,TD,2
508172,Corey Waldon,South Alabama,Sun Belt,receiving,LONG,18
508170,Bryant Lavender,South Alabama,Sun Belt,receiving,TD,0
508285,Jared Palmer,South Alabama,Sun Belt,receiving,YPR,1.0
532160,Cameron Broadnax,South Alabama,Sun Belt,receiving,REC,2
537388,Jeremé Jones,South Alabama,Sun Belt,receiving,YDS,513
508193,Desmond Jones,South Alabama,Sun Belt,receiving,YPR,7.0
508244,Greg Hollinger,South Alabama,Sun Belt,receiving,TD,2
508163,T.J. Glover,South Alabama,Sun Belt,receiving,YDS,206
512232,Demetre Baker,South Alabama,Sun Belt,receiving,TD,0
508167,Corey Besteda,South Alabama,Sun Belt,receiving,YPR,15.4
