playerId,player,team,conference,category,statType,stat
559580,Jacob August,South Carolina,SEC,receiving,LONG,19
4259499,Shi Smith,South Carolina,SEC,receiving,TD,3
4038836,Kiel Pollard,South Carolina,SEC,receiving,YDS,4
4038836,Kiel Pollard,South Carolina,SEC,receiving,LONG,4
4038814,Chavis Dawkins,South Carolina,SEC,receiving,TD,0
4241235,OrTre Smith,South Carolina,SEC,receiving,REC,30
559580,Jacob August,South Carolina,SEC,receiving,TD,0
3924359,Mon Denson,South Carolina,SEC,receiving,REC,1
3126486,Deebo Samuel,South Carolina,SEC,receiving,YDS,250
4038836,Kiel Pollard,South Carolina,SEC,receiving,TD,0
4259503,Chad Terrell,South Carolina,SEC,receiving,YPR,6.7
3126479,K.C. Crosby,South Carolina,SEC,receiving,REC,2
3924359,Mon Denson,South Carolina,SEC,receiving,YDS,4
4038813,Randrecous Davis,South Carolina,SEC,receiving,YDS,55
3895827,Ty'Son Williams,South Carolina,SEC,receiving,YDS,32
3924376,A.J. Turner,South Carolina,SEC,receiving,YPR,6.5
4038813,Randrecous Davis,South Carolina,SEC,receiving,REC,7
3126486,Deebo Samuel,South Carolina,SEC,receiving,TD,3
4241235,OrTre Smith,South Carolina,SEC,receiving,LONG,28
3924365,Hayden Hurst,South Carolina,SEC,receiving,LONG,62
4038814,Chavis Dawkins,South Carolina,SEC,receiving,YDS,18
3924365,Hayden Hurst,South Carolina,SEC,receiving,YDS,559
559580,Jacob August,South Carolina,SEC,receiving,YDS,68
4038818,Bryan Edwards,South Carolina,SEC,receiving,REC,64
4038815,Rico Dowdle,South Carolina,SEC,receiving,REC,11
3126479,K.C. Crosby,South Carolina,SEC,receiving,YDS,11
3126479,K.C. Crosby,South Carolina,SEC,receiving,LONG,6
4038836,Kiel Pollard,South Carolina,SEC,receiving,REC,1
3126486,Deebo Samuel,South Carolina,SEC,receiving,REC,15
4241235,OrTre Smith,South Carolina,SEC,receiving,YPR,10.9
4038814,Chavis Dawkins,South Carolina,SEC,receiving,REC,2
3924359,Mon Denson,South Carolina,SEC,receiving,TD,0
4241235,OrTre Smith,South Carolina,SEC,receiving,TD,3
3895827,Ty'Son Williams,South Carolina,SEC,receiving,LONG,13
4038815,Rico Dowdle,South Carolina,SEC,receiving,YPR,11.6
4259503,Chad Terrell,South Carolina,SEC,receiving,REC,3
3924365,Hayden Hurst,South Carolina,SEC,receiving,TD,2
4259503,Chad Terrell,South Carolina,SEC,receiving,LONG,9
559580,Jacob August,South Carolina,SEC,receiving,REC,6
4038818,Bryan Edwards,South Carolina,SEC,receiving,YPR,12.4
3924365,Hayden Hurst,South Carolina,SEC,receiving,YPR,12.7
4038813,Randrecous Davis,South Carolina,SEC,receiving,LONG,13
4038818,Bryan Edwards,South Carolina,SEC,receiving,YDS,793
4038815,Rico Dowdle,South Carolina,SEC,receiving,TD,1
3895827,Ty'Son Williams,South Carolina,SEC,receiving,REC,12
4259499,Shi Smith,South Carolina,SEC,receiving,YPR,14.1
4038818,Bryan Edwards,South Carolina,SEC,receiving,TD,5
4038813,Randrecous Davis,South Carolina,SEC,receiving,TD,0
4038815,Rico Dowdle,South Carolina,SEC,receiving,LONG,34
3924376,A.J. Turner,South Carolina,SEC,receiving,TD,0
4259503,Chad Terrell,South Carolina,SEC,receiving,YDS,20
4259499,Shi Smith,South Carolina,SEC,receiving,YDS,409
559580,Jacob August,South Carolina,SEC,receiving,YPR,11.3
3924359,Mon Denson,South Carolina,SEC,receiving,LONG,4
3126479,K.C. Crosby,South Carolina,SEC,receiving,TD,0
4038814,Chavis Dawkins,South Carolina,SEC,receiving,YPR,9.0
3126479,K.C. Crosby,South Carolina,SEC,receiving,YPR,5.5
3895827,Ty'Son Williams,South Carolina,SEC,receiving,YPR,2.7
4038815,Rico Dowdle,South Carolina,SEC,receiving,YDS,128
4038813,Randrecous Davis,South Carolina,SEC,receiving,YPR,7.9
3126486,Deebo Samuel,South Carolina,SEC,receiving,LONG,68
3924359,Mon Denson,South Carolina,SEC,receiving,YPR,4.0
4259499,Shi Smith,South Carolina,SEC,receiving,REC,29
4038814,Chavis Dawkins,South Carolina,SEC,receiving,LONG,9
3924365,Hayden Hurst,South Carolina,SEC,receiving,REC,44
4038836,Kiel Pollard,South Carolina,SEC,receiving,YPR,4.0
4259499,Shi Smith,South Carolina,SEC,receiving,LONG,53
3924376,A.J. Turner,South Carolina,SEC,receiving,YDS,117
3895827,Ty'Son Williams,South Carolina,SEC,receiving,TD,1
3126486,Deebo Samuel,South Carolina,SEC,receiving,YPR,16.7
4259503,Chad Terrell,South Carolina,SEC,receiving,TD,0
4241235,OrTre Smith,South Carolina,SEC,receiving,YDS,326
3924376,A.J. Turner,South Carolina,SEC,receiving,REC,18
4038818,Bryan Edwards,South Carolina,SEC,receiving,LONG,41
3924376,A.J. Turner,South Carolina,SEC,receiving,LONG,15
