playerId,player,team,conference,category,statType,stat
4360886,Terrence Horne,South Florida,American Athletic,receiving,TD,1
3923392,Mitchell Wilcox,South Florida,American Athletic,receiving,YDS,540
4255692,Duran Bell Jr.,South Florida,American Athletic,receiving,REC,2
3923392,Mitchell Wilcox,South Florida,American Athletic,receiving,LONG,45
4360867,Zion Roland,South Florida,American Athletic,receiving,YPR,12.0
4044113,Darnell Salomon,South Florida,American Athletic,receiving,YPR,17.6
4360881,Johnny Ford,South Florida,American Athletic,receiving,TD,1
4047652,Jacob Mathis,South Florida,American Athletic,receiving,TD,0
3858944,Blake Barnett,South Florida,American Athletic,receiving,LONG,1
3139606,Tyre McCants,South Florida,American Athletic,receiving,TD,3
4255713,Randall St. Felix,South Florida,American Athletic,receiving,YPR,20.6
3139585,Ryeshene Bronson,South Florida,American Athletic,receiving,YPR,11.2
4255692,Duran Bell Jr.,South Florida,American Athletic,receiving,YPR,2.0
4360867,Zion Roland,South Florida,American Athletic,receiving,REC,5
4255713,Randall St. Felix,South Florida,American Athletic,receiving,YDS,536
3915098,Jordan Cronkrite,South Florida,American Athletic,receiving,YPR,4.3
3915098,Jordan Cronkrite,South Florida,American Athletic,receiving,LONG,9
4360867,Zion Roland,South Florida,American Athletic,receiving,TD,0
4243234,Jernard Phillips,South Florida,American Athletic,receiving,TD,0
3858944,Blake Barnett,South Florida,American Athletic,receiving,REC,1
4360881,Johnny Ford,South Florida,American Athletic,receiving,LONG,39
4360867,Zion Roland,South Florida,American Athletic,receiving,YDS,60
3915098,Jordan Cronkrite,South Florida,American Athletic,receiving,TD,0
4047652,Jacob Mathis,South Florida,American Athletic,receiving,YDS,15
4044113,Darnell Salomon,South Florida,American Athletic,receiving,REC,25
4360881,Johnny Ford,South Florida,American Athletic,receiving,YPR,26.0
4386212,R St Felix,South Florida,American Athletic,receiving,YDS,143
4047652,Jacob Mathis,South Florida,American Athletic,receiving,YPR,5.0
3139588,Stanley Clerveaux,South Florida,American Athletic,receiving,LONG,25
4386212,R St Felix,South Florida,American Athletic,receiving,TD,1
3139588,Stanley Clerveaux,South Florida,American Athletic,receiving,REC,22
4386212,R St Felix,South Florida,American Athletic,receiving,REC,7
4047652,Jacob Mathis,South Florida,American Athletic,receiving,LONG,7
4044113,Darnell Salomon,South Florida,American Athletic,receiving,YDS,440
3139606,Tyre McCants,South Florida,American Athletic,receiving,YPR,10.5
3139585,Ryeshene Bronson,South Florida,American Athletic,receiving,LONG,72
3923365,Deangelo Antoine,South Florida,American Athletic,receiving,REC,6
3923365,Deangelo Antoine,South Florida,American Athletic,receiving,YDS,75
3923392,Mitchell Wilcox,South Florida,American Athletic,receiving,YPR,12.6
3858944,Blake Barnett,South Florida,American Athletic,receiving,YPR,1.0
4255713,Randall St. Felix,South Florida,American Athletic,receiving,REC,26
4047652,Jacob Mathis,South Florida,American Athletic,receiving,REC,3
