playerId,player,team,conference,category,statType,stat
3117251,Christian McCaffrey,Stanford,Pac-12,receiving,YPR,14.3
3931398,Bryce Love,Stanford,Pac-12,receiving,YDS,250
546471,Austin Hooper,Stanford,Pac-12,receiving,YPR,12.9
3117250,Daniel Marx,Stanford,Pac-12,receiving,LONG,15
546471,Austin Hooper,Stanford,Pac-12,receiving,REC,34
516357,Kevin Hogan,Stanford,Pac-12,receiving,YDS,11
535298,Barry Sanders,Stanford,Pac-12,receiving,YPR,11.0
516352,Devon Cajuste,Stanford,Pac-12,receiving,YDS,383
516372,Rollins Stallworth,Stanford,Pac-12,receiving,YDS,82
3117251,Christian McCaffrey,Stanford,Pac-12,receiving,YDS,645
546474,Francis Owusu,Stanford,Pac-12,receiving,REC,13
3117256,Dalton Schultz,Stanford,Pac-12,receiving,TD,1
3117251,Christian McCaffrey,Stanford,Pac-12,receiving,TD,5
535298,Barry Sanders,Stanford,Pac-12,receiving,LONG,11
546474,Francis Owusu,Stanford,Pac-12,receiving,LONG,41
516357,Kevin Hogan,Stanford,Pac-12,receiving,LONG,11
3931391,Trenton Irwin,Stanford,Pac-12,receiving,TD,0
516357,Kevin Hogan,Stanford,Pac-12,receiving,REC,1
3117256,Dalton Schultz,Stanford,Pac-12,receiving,LONG,22
546471,Austin Hooper,Stanford,Pac-12,receiving,YDS,438
3117251,Christian McCaffrey,Stanford,Pac-12,receiving,REC,45
546471,Austin Hooper,Stanford,Pac-12,receiving,TD,6
3931391,Trenton Irwin,Stanford,Pac-12,receiving,YPR,12.5
516372,Rollins Stallworth,Stanford,Pac-12,receiving,REC,7
3117251,Christian McCaffrey,Stanford,Pac-12,receiving,LONG,75
516357,Kevin Hogan,Stanford,Pac-12,receiving,TD,1
3117256,Dalton Schultz,Stanford,Pac-12,receiving,YDS,121
516352,Devon Cajuste,Stanford,Pac-12,receiving,TD,3
3117250,Daniel Marx,Stanford,Pac-12,receiving,YDS,25
3931391,Trenton Irwin,Stanford,Pac-12,receiving,YDS,150
546476,Greg Taboada,Stanford,Pac-12,receiving,REC,5
546476,Greg Taboada,Stanford,Pac-12,receiving,TD,2
3931398,Bryce Love,Stanford,Pac-12,receiving,TD,1
511941,Remound Wright,Stanford,Pac-12,receiving,TD,2
516372,Rollins Stallworth,Stanford,Pac-12,receiving,LONG,20
3117250,Daniel Marx,Stanford,Pac-12,receiving,REC,3
3931398,Bryce Love,Stanford,Pac-12,receiving,REC,15
546476,Greg Taboada,Stanford,Pac-12,receiving,YPR,13.2
535298,Barry Sanders,Stanford,Pac-12,receiving,TD,0
516372,Rollins Stallworth,Stanford,Pac-12,receiving,TD,1
511941,Remound Wright,Stanford,Pac-12,receiving,YDS,49
535298,Barry Sanders,Stanford,Pac-12,receiving,YDS,11
535297,Michael Rector,Stanford,Pac-12,receiving,REC,34
546474,Francis Owusu,Stanford,Pac-12,receiving,YDS,175
546476,Greg Taboada,Stanford,Pac-12,receiving,LONG,28
3931391,Trenton Irwin,Stanford,Pac-12,receiving,LONG,20
511941,Remound Wright,Stanford,Pac-12,receiving,REC,6
535297,Michael Rector,Stanford,Pac-12,receiving,YPR,16.4
516352,Devon Cajuste,Stanford,Pac-12,receiving,YPR,14.2
511941,Remound Wright,Stanford,Pac-12,receiving,LONG,16
3931398,Bryce Love,Stanford,Pac-12,receiving,LONG,93
546471,Austin Hooper,Stanford,Pac-12,receiving,LONG,42
3931391,Trenton Irwin,Stanford,Pac-12,receiving,REC,12
546476,Greg Taboada,Stanford,Pac-12,receiving,YDS,66
516372,Rollins Stallworth,Stanford,Pac-12,receiving,YPR,11.7
535298,Barry Sanders,Stanford,Pac-12,receiving,REC,1
3117256,Dalton Schultz,Stanford,Pac-12,receiving,YPR,12.1
535297,Michael Rector,Stanford,Pac-12,receiving,YDS,559
3117250,Daniel Marx,Stanford,Pac-12,receiving,YPR,8.3
3117250,Daniel Marx,Stanford,Pac-12,receiving,TD,0
511941,Remound Wright,Stanford,Pac-12,receiving,YPR,8.2
3931398,Bryce Love,Stanford,Pac-12,receiving,YPR,16.7
516352,Devon Cajuste,Stanford,Pac-12,receiving,REC,27
535297,Michael Rector,Stanford,Pac-12,receiving,LONG,53
516352,Devon Cajuste,Stanford,Pac-12,receiving,LONG,42
546474,Francis Owusu,Stanford,Pac-12,receiving,TD,1
3117256,Dalton Schultz,Stanford,Pac-12,receiving,REC,10
535297,Michael Rector,Stanford,Pac-12,receiving,TD,7
546474,Francis Owusu,Stanford,Pac-12,receiving,YPR,13.5
516357,Kevin Hogan,Stanford,Pac-12,receiving,YPR,11.0
