playerId,player,team,conference,category,statType,stat
4690966,Isaiah Jones,Syracuse,ACC,receiving,LONG,23
4039599,Devaughn Cooper,Syracuse,ACC,receiving,TD,3
4605489,Damien Alford,Syracuse,ACC,receiving,LONG,58
4911851,Lequint Allen,Syracuse,ACC,receiving,LONG,41
4691315,Umari Hatcher,Syracuse,ACC,receiving,REC,3
4691315,Umari Hatcher,Syracuse,ACC,receiving,YPR,14.0
4565172,Courtney Jackson,Syracuse,ACC,receiving,YPR,13.4
4605489,Damien Alford,Syracuse,ACC,receiving,REC,20
4241959,C.J. Hayes,Syracuse,ACC,receiving,YDS,5
4608858,Dan Villari,Syracuse,ACC,receiving,YPR,22.0
4430871,Sean Tucker,Syracuse,ACC,receiving,LONG,55
4605489,Damien Alford,Syracuse,ACC,receiving,YDS,429
4361936,Anthony Queeley,Syracuse,ACC,receiving,YPR,12.0
4690966,Isaiah Jones,Syracuse,ACC,receiving,YPR,11.7
4241959,C.J. Hayes,Syracuse,ACC,receiving,YPR,5.0
4575862,Trebor Pena,Syracuse,ACC,receiving,YDS,203
4595342,Oronde Gadsden II,Syracuse,ACC,receiving,LONG,46
4575862,Trebor Pena,Syracuse,ACC,receiving,REC,22
4691315,Umari Hatcher,Syracuse,ACC,receiving,LONG,16
4608691,Maximilian Mang,Syracuse,ACC,receiving,REC,6
4565172,Courtney Jackson,Syracuse,ACC,receiving,YDS,201
4039599,Devaughn Cooper,Syracuse,ACC,receiving,YPR,13.5
4241959,C.J. Hayes,Syracuse,ACC,receiving,REC,1
4595342,Oronde Gadsden II,Syracuse,ACC,receiving,YPR,15.9
4608858,Dan Villari,Syracuse,ACC,receiving,LONG,22
4690966,Isaiah Jones,Syracuse,ACC,receiving,REC,3
4911851,Lequint Allen,Syracuse,ACC,receiving,REC,17
4690966,Isaiah Jones,Syracuse,ACC,receiving,TD,1
4608691,Maximilian Mang,Syracuse,ACC,receiving,YPR,9.3
4430871,Sean Tucker,Syracuse,ACC,receiving,TD,2
4911851,Lequint Allen,Syracuse,ACC,receiving,TD,1
4575862,Trebor Pena,Syracuse,ACC,receiving,YPR,9.2
4595342,Oronde Gadsden II,Syracuse,ACC,receiving,REC,61
4363035,D'Marcus Adams,Syracuse,ACC,receiving,YPR,30.0
4608858,Dan Villari,Syracuse,ACC,receiving,REC,1
4363035,D'Marcus Adams,Syracuse,ACC,receiving,TD,2
4608858,Dan Villari,Syracuse,ACC,receiving,YDS,22
4595342,Oronde Gadsden II,Syracuse,ACC,receiving,YDS,969
4605489,Damien Alford,Syracuse,ACC,receiving,TD,2
4430871,Sean Tucker,Syracuse,ACC,receiving,REC,36
4430871,Sean Tucker,Syracuse,ACC,receiving,YDS,255
4575862,Trebor Pena,Syracuse,ACC,receiving,LONG,30
4565172,Courtney Jackson,Syracuse,ACC,receiving,LONG,25
4361936,Anthony Queeley,Syracuse,ACC,receiving,LONG,12
4595342,Oronde Gadsden II,Syracuse,ACC,receiving,TD,6
4565172,Courtney Jackson,Syracuse,ACC,receiving,REC,15
4691315,Umari Hatcher,Syracuse,ACC,receiving,TD,1
4363035,D'Marcus Adams,Syracuse,ACC,receiving,LONG,45
4363035,D'Marcus Adams,Syracuse,ACC,receiving,REC,6
4361936,Anthony Queeley,Syracuse,ACC,receiving,REC,1
4911851,Lequint Allen,Syracuse,ACC,receiving,YPR,6.9
4690966,Isaiah Jones,Syracuse,ACC,receiving,YDS,35
4575862,Trebor Pena,Syracuse,ACC,receiving,TD,0
4361936,Anthony Queeley,Syracuse,ACC,receiving,YDS,12
4039599,Devaughn Cooper,Syracuse,ACC,receiving,LONG,33
4565172,Courtney Jackson,Syracuse,ACC,receiving,TD,1
4608691,Maximilian Mang,Syracuse,ACC,receiving,LONG,25
4039599,Devaughn Cooper,Syracuse,ACC,receiving,REC,36
4039599,Devaughn Cooper,Syracuse,ACC,receiving,YDS,485
4608691,Maximilian Mang,Syracuse,ACC,receiving,YDS,56
4608691,Maximilian Mang,Syracuse,ACC,receiving,TD,0
4363035,D'Marcus Adams,Syracuse,ACC,receiving,YDS,180
4605489,Damien Alford,Syracuse,ACC,receiving,YPR,21.5
4911851,Lequint Allen,Syracuse,ACC,receiving,YDS,117
4430871,Sean Tucker,Syracuse,ACC,receiving,YPR,7.1
4691315,Umari Hatcher,Syracuse,ACC,receiving,YDS,42
4241959,C.J. Hayes,Syracuse,ACC,receiving,TD,0
4608858,Dan Villari,Syracuse,ACC,receiving,TD,0
4241959,C.J. Hayes,Syracuse,ACC,receiving,LONG,5
4361936,Anthony Queeley,Syracuse,ACC,receiving,TD,0
