playerId,player,team,conference,category,statType,stat
3138760,Ventell Bryant,Temple,American Athletic,receiving,YPR,13.5
4044121,Isaiah Wright,Temple,American Athletic,receiving,TD,3
3923405,Jager Gardner,Temple,American Athletic,receiving,YPR,10.2
4044121,Isaiah Wright,Temple,American Athletic,receiving,YPR,11.2
4044121,Isaiah Wright,Temple,American Athletic,receiving,LONG,53
4360972,Sean Ryan,Temple,American Athletic,receiving,TD,1
4044123,Branden Mack,Temple,American Athletic,receiving,LONG,49
4257580,Christian Braswell,Temple,American Athletic,receiving,YPR,18.0
4257587,Jadan Blue,Temple,American Athletic,receiving,REC,3
3138758,Brodrick Yancy,Temple,American Athletic,receiving,LONG,40
3138738,Jyquis Thomas,Temple,American Athletic,receiving,REC,1
4044123,Branden Mack,Temple,American Athletic,receiving,YPR,13.7
4257580,Christian Braswell,Temple,American Athletic,receiving,LONG,18
4257589,Ifeanyi Maijeh,Temple,American Athletic,receiving,TD,0
4044144,Kenny Yeboah,Temple,American Athletic,receiving,YPR,11.8
4360978,David Martin-Robinson,Temple,American Athletic,receiving,YPR,2.0
3923397,Ryquell Armstead,Temple,American Athletic,receiving,YPR,6.5
4360972,Sean Ryan,Temple,American Athletic,receiving,YDS,151
4044146,Dan Archibong,Temple,American Athletic,receiving,REC,1
3949058,Travon Williams,Temple,American Athletic,receiving,LONG,29
4360978,David Martin-Robinson,Temple,American Athletic,receiving,TD,0
4044146,Dan Archibong,Temple,American Athletic,receiving,TD,0
4044144,Kenny Yeboah,Temple,American Athletic,receiving,LONG,47
3923397,Ryquell Armstead,Temple,American Athletic,receiving,LONG,15
4257581,L.J. Holder,Temple,American Athletic,receiving,LONG,10
3923405,Jager Gardner,Temple,American Athletic,receiving,LONG,38
4044142,Freddie Johnson,Temple,American Athletic,receiving,YDS,130
3923397,Ryquell Armstead,Temple,American Athletic,receiving,TD,0
3138758,Brodrick Yancy,Temple,American Athletic,receiving,TD,1
3923397,Ryquell Armstead,Temple,American Athletic,receiving,REC,8
4360978,David Martin-Robinson,Temple,American Athletic,receiving,YDS,2
3138760,Ventell Bryant,Temple,American Athletic,receiving,LONG,62
3138752,Rob Ritrovato,Temple,American Athletic,receiving,YDS,50
4044143,Randle Jones,Temple,American Athletic,receiving,YDS,445
4044144,Kenny Yeboah,Temple,American Athletic,receiving,YDS,154
4257581,L.J. Holder,Temple,American Athletic,receiving,REC,1
3138758,Brodrick Yancy,Temple,American Athletic,receiving,REC,15
4044143,Randle Jones,Temple,American Athletic,receiving,YPR,19.3
3923412,Jake Robinson,Temple,American Athletic,receiving,YPR,13.0
3923405,Jager Gardner,Temple,American Athletic,receiving,TD,0
3949058,Travon Williams,Temple,American Athletic,receiving,REC,5
4044135,Jonny Forrest,Temple,American Athletic,receiving,TD,0
4257589,Ifeanyi Maijeh,Temple,American Athletic,receiving,LONG,21
3923412,Jake Robinson,Temple,American Athletic,receiving,YDS,13
4044146,Dan Archibong,Temple,American Athletic,receiving,YDS,0
4044121,Isaiah Wright,Temple,American Athletic,receiving,REC,33
3138760,Ventell Bryant,Temple,American Athletic,receiving,REC,52
4044143,Randle Jones,Temple,American Athletic,receiving,LONG,70
4044142,Freddie Johnson,Temple,American Athletic,receiving,LONG,44
4257587,Jadan Blue,Temple,American Athletic,receiving,YDS,39
4044135,Jonny Forrest,Temple,American Athletic,receiving,REC,3
3138738,Jyquis Thomas,Temple,American Athletic,receiving,TD,0
4257580,Christian Braswell,Temple,American Athletic,receiving,TD,0
3138744,Chris Myarick,Temple,American Athletic,receiving,REC,14
3138752,Rob Ritrovato,Temple,American Athletic,receiving,REC,8
3138744,Chris Myarick,Temple,American Athletic,receiving,LONG,36
4257589,Ifeanyi Maijeh,Temple,American Athletic,receiving,REC,2
4044143,Randle Jones,Temple,American Athletic,receiving,TD,4
3949058,Travon Williams,Temple,American Athletic,receiving,TD,0
3923412,Jake Robinson,Temple,American Athletic,receiving,LONG,13
3923412,Jake Robinson,Temple,American Athletic,receiving,TD,0
4360978,David Martin-Robinson,Temple,American Athletic,receiving,REC,1
3138760,Ventell Bryant,Temple,American Athletic,receiving,TD,3
3138738,Jyquis Thomas,Temple,American Athletic,receiving,LONG,13
4257587,Jadan Blue,Temple,American Athletic,receiving,TD,0
4257581,L.J. Holder,Temple,American Athletic,receiving,YDS,10
4044135,Jonny Forrest,Temple,American Athletic,receiving,YDS,5
4044121,Isaiah Wright,Temple,American Athletic,receiving,YDS,368
3138738,Jyquis Thomas,Temple,American Athletic,receiving,YPR,13.0
4044123,Branden Mack,Temple,American Athletic,receiving,REC,44
3923397,Ryquell Armstead,Temple,American Athletic,receiving,YDS,52
4044135,Jonny Forrest,Temple,American Athletic,receiving,YPR,1.7
4360978,David Martin-Robinson,Temple,American Athletic,receiving,LONG,2
3923405,Jager Gardner,Temple,American Athletic,receiving,YDS,92
3138752,Rob Ritrovato,Temple,American Athletic,receiving,TD,0
4044146,Dan Archibong,Temple,American Athletic,receiving,LONG,0
3138744,Chris Myarick,Temple,American Athletic,receiving,TD,1
4257589,Ifeanyi Maijeh,Temple,American Athletic,receiving,YPR,13.0
3138752,Rob Ritrovato,Temple,American Athletic,receiving,YPR,6.3
4044142,Freddie Johnson,Temple,American Athletic,receiving,TD,1
4044123,Branden Mack,Temple,American Athletic,receiving,TD,5
4044143,Randle Jones,Temple,American Athletic,receiving,REC,23
3138760,Ventell Bryant,Temple,American Athletic,receiving,YDS,701
3949058,Travon Williams,Temple,American Athletic,receiving,YPR,15.4
4044123,Branden Mack,Temple,American Athletic,receiving,YDS,601
4360972,Sean Ryan,Temple,American Athletic,receiving,REC,11
4257580,Christian Braswell,Temple,American Athletic,receiving,REC,1
4257587,Jadan Blue,Temple,American Athletic,receiving,LONG,18
3138752,Rob Ritrovato,Temple,American Athletic,receiving,LONG,14
4257581,L.J. Holder,Temple,American Athletic,receiving,YPR,10.0
3923405,Jager Gardner,Temple,American Athletic,receiving,REC,9
3138738,Jyquis Thomas,Temple,American Athletic,receiving,YDS,13
4257589,Ifeanyi Maijeh,Temple,American Athletic,receiving,YDS,26
4044144,Kenny Yeboah,Temple,American Athletic,receiving,REC,13
3138758,Brodrick Yancy,Temple,American Athletic,receiving,YDS,263
3138758,Brodrick Yancy,Temple,American Athletic,receiving,YPR,17.5
4257580,Christian Braswell,Temple,American Athletic,receiving,YDS,18
4044142,Freddie Johnson,Temple,American Athletic,receiving,REC,7
4360972,Sean Ryan,Temple,American Athletic,receiving,LONG,27
3138744,Chris Myarick,Temple,American Athletic,receiving,YDS,146
4044142,Freddie Johnson,Temple,American Athletic,receiving,YPR,18.6
3949058,Travon Williams,Temple,American Athletic,receiving,YDS,77
3923412,Jake Robinson,Temple,American Athletic,receiving,REC,1
4044146,Dan Archibong,Temple,American Athletic,receiving,YPR,0.0
4257587,Jadan Blue,Temple,American Athletic,receiving,YPR,13.0
4044135,Jonny Forrest,Temple,American Athletic,receiving,LONG,5
4257581,L.J. Holder,Temple,American Athletic,receiving,TD,0
4360972,Sean Ryan,Temple,American Athletic,receiving,YPR,13.7
3138744,Chris Myarick,Temple,American Athletic,receiving,YPR,10.4
4044144,Kenny Yeboah,Temple,American Athletic,receiving,TD,1
