playerId,player,team,conference,category,statType,stat
3122421,Keenen Brown,Texas State,Sun Belt,receiving,YPR,11.5
4241702,Elijah Rogers,Texas State,Sun Belt,receiving,REC,5
4390097,Anthonyj Taylor,Texas State,Sun Belt,receiving,REC,3
4241701,T.J. Bedford,Texas State,Sun Belt,receiving,YPR,11.3
3918041,Jalen Smith,Texas State,Sun Belt,receiving,TD,0
4241665,Caleb Twyford,Texas State,Sun Belt,receiving,REC,16
3918041,Jalen Smith,Texas State,Sun Belt,receiving,YPR,5.0
4241702,Elijah Rogers,Texas State,Sun Belt,receiving,YPR,7.2
4390097,Anthonyj Taylor,Texas State,Sun Belt,receiving,LONG,13
4241701,T.J. Bedford,Texas State,Sun Belt,receiving,YDS,90
4362678,Alec Harris,Texas State,Sun Belt,receiving,YDS,11
4040517,Mason Hays,Texas State,Sun Belt,receiving,LONG,38
4362669,T.J. Graham,Texas State,Sun Belt,receiving,LONG,31
4362668,Javen Banks,Texas State,Sun Belt,receiving,YPR,16.1
4040553,Anthony D. Taylor,Texas State,Sun Belt,receiving,YPR,8.4
4362669,T.J. Graham,Texas State,Sun Belt,receiving,REC,1
4040522,Robert Brown Jr.,Texas State,Sun Belt,receiving,YPR,4.9
4362669,T.J. Graham,Texas State,Sun Belt,receiving,YDS,31
4241671,Jeremiah Haydel,Texas State,Sun Belt,receiving,LONG,93
4362668,Javen Banks,Texas State,Sun Belt,receiving,REC,10
4040546,Hutch White,Texas State,Sun Belt,receiving,REC,33
4362664,JahMarae Sheread,Texas State,Sun Belt,receiving,LONG,37
4241701,T.J. Bedford,Texas State,Sun Belt,receiving,LONG,19
4241676,Kordell Rodgers,Texas State,Sun Belt,receiving,YDS,39
4040553,Anthony D. Taylor,Texas State,Sun Belt,receiving,TD,0
4362671,Blake Aragon,Texas State,Sun Belt,receiving,LONG,15
4241671,Jeremiah Haydel,Texas State,Sun Belt,receiving,REC,16
4241676,Kordell Rodgers,Texas State,Sun Belt,receiving,TD,1
4040553,Anthony D. Taylor,Texas State,Sun Belt,receiving,YDS,42
4241665,Caleb Twyford,Texas State,Sun Belt,receiving,TD,0
4241671,Jeremiah Haydel,Texas State,Sun Belt,receiving,TD,4
4241676,Kordell Rodgers,Texas State,Sun Belt,receiving,YPR,39.0
