playerId,player,team,conference,category,statType,stat
3125122,Lorenzo Joe,Texas,Big 12,receiving,TD,1
3929844,John Burt,Texas,Big 12,receiving,LONG,84
531054,Caleb Bluiett,Texas,Big 12,receiving,LONG,57
3125115,Armanti Foreman,Texas,Big 12,receiving,TD,2
3125122,Lorenzo Joe,Texas,Big 12,receiving,YDS,73
3125107,Andrew Beck,Texas,Big 12,receiving,YDS,77
3125110,Roderick Bernard,Texas,Big 12,receiving,TD,0
550543,Jacorey Warrick,Texas,Big 12,receiving,YPR,5.8
531077,Marcus Johnson,Texas,Big 12,receiving,YPR,10.8
550543,Jacorey Warrick,Texas,Big 12,receiving,TD,0
3125110,Roderick Bernard,Texas,Big 12,receiving,YDS,4
531054,Caleb Bluiett,Texas,Big 12,receiving,YPR,20.9
3929857,Alex De La Torre,Texas,Big 12,receiving,LONG,13
531054,Caleb Bluiett,Texas,Big 12,receiving,TD,2
3929853,Ryan Newsome,Texas,Big 12,receiving,YPR,5.6
3125122,Lorenzo Joe,Texas,Big 12,receiving,YPR,18.3
3929853,Ryan Newsome,Texas,Big 12,receiving,TD,0
550543,Jacorey Warrick,Texas,Big 12,receiving,REC,6
3929844,John Burt,Texas,Big 12,receiving,YPR,16.3
3125115,Armanti Foreman,Texas,Big 12,receiving,REC,11
3125110,Roderick Bernard,Texas,Big 12,receiving,REC,1
3929855,Chris Warren III,Texas,Big 12,receiving,LONG,9
3929855,Chris Warren III,Texas,Big 12,receiving,YDS,13
3125110,Roderick Bernard,Texas,Big 12,receiving,YPR,4.0
3929857,Alex De La Torre,Texas,Big 12,receiving,YDS,24
3125116,D'Onta Foreman,Texas,Big 12,receiving,YDS,64
3125121,Jerrod Heard,Texas,Big 12,receiving,REC,1
531069,Johnathan Gray,Texas,Big 12,receiving,REC,6
3929855,Chris Warren III,Texas,Big 12,receiving,TD,0
3125116,D'Onta Foreman,Texas,Big 12,receiving,LONG,22
3125121,Jerrod Heard,Texas,Big 12,receiving,YDS,3
3929844,John Burt,Texas,Big 12,receiving,YDS,457
531076,Daje Johnson,Texas,Big 12,receiving,REC,37
531076,Daje Johnson,Texas,Big 12,receiving,TD,1
3929857,Alex De La Torre,Texas,Big 12,receiving,REC,3
550543,Jacorey Warrick,Texas,Big 12,receiving,LONG,21
3929844,John Burt,Texas,Big 12,receiving,REC,28
3125115,Armanti Foreman,Texas,Big 12,receiving,LONG,40
3125116,D'Onta Foreman,Texas,Big 12,receiving,REC,5
531077,Marcus Johnson,Texas,Big 12,receiving,TD,1
3125110,Roderick Bernard,Texas,Big 12,receiving,LONG,4
3125107,Andrew Beck,Texas,Big 12,receiving,LONG,22
3125122,Lorenzo Joe,Texas,Big 12,receiving,LONG,37
531069,Johnathan Gray,Texas,Big 12,receiving,TD,0
531054,Caleb Bluiett,Texas,Big 12,receiving,REC,8
531076,Daje Johnson,Texas,Big 12,receiving,YDS,415
3929855,Chris Warren III,Texas,Big 12,receiving,REC,5
3929857,Alex De La Torre,Texas,Big 12,receiving,YPR,8.0
3125115,Armanti Foreman,Texas,Big 12,receiving,YDS,182
3125116,D'Onta Foreman,Texas,Big 12,receiving,TD,0
3929853,Ryan Newsome,Texas,Big 12,receiving,YDS,28
3125115,Armanti Foreman,Texas,Big 12,receiving,YPR,16.5
3125107,Andrew Beck,Texas,Big 12,receiving,YPR,9.6
531069,Johnathan Gray,Texas,Big 12,receiving,LONG,26
3929853,Ryan Newsome,Texas,Big 12,receiving,LONG,8
531076,Daje Johnson,Texas,Big 12,receiving,YPR,11.2
3125107,Andrew Beck,Texas,Big 12,receiving,REC,8
3929844,John Burt,Texas,Big 12,receiving,TD,2
3125107,Andrew Beck,Texas,Big 12,receiving,TD,0
3125121,Jerrod Heard,Texas,Big 12,receiving,LONG,3
3125116,D'Onta Foreman,Texas,Big 12,receiving,YPR,12.8
531077,Marcus Johnson,Texas,Big 12,receiving,LONG,47
3125122,Lorenzo Joe,Texas,Big 12,receiving,REC,4
550543,Jacorey Warrick,Texas,Big 12,receiving,YDS,35
3929855,Chris Warren III,Texas,Big 12,receiving,YPR,2.6
531076,Daje Johnson,Texas,Big 12,receiving,LONG,54
531077,Marcus Johnson,Texas,Big 12,receiving,YDS,130
531077,Marcus Johnson,Texas,Big 12,receiving,REC,12
531069,Johnathan Gray,Texas,Big 12,receiving,YDS,84
531054,Caleb Bluiett,Texas,Big 12,receiving,YDS,167
3929853,Ryan Newsome,Texas,Big 12,receiving,REC,5
3929857,Alex De La Torre,Texas,Big 12,receiving,TD,0
3125121,Jerrod Heard,Texas,Big 12,receiving,YPR,3.0
3125121,Jerrod Heard,Texas,Big 12,receiving,TD,0
531069,Johnathan Gray,Texas,Big 12,receiving,YPR,14.0
