playerId,player,team,conference,category,statType,stat
481236,Julian Bellinger,Toledo,Mid-American,receiving,LONG,14
237878,Danny Noble,Toledo,Mid-American,receiving,YDS,75
504635,Dwight Macon,Toledo,Mid-American,receiving,YPR,33.0
504635,Dwight Macon,Toledo,Mid-American,receiving,TD,1
513386,Justin Olack,Toledo,Mid-American,receiving,LONG,10
237652,Adonis Thomas,Toledo,Mid-American,receiving,YDS,324
504639,Cassius McDowell,Toledo,Mid-American,receiving,YPR,5.0
242285,Morgan Williams,Toledo,Mid-American,receiving,YDS,145
481236,Julian Bellinger,Toledo,Mid-American,receiving,REC,2
242285,Morgan Williams,Toledo,Mid-American,receiving,REC,15
242285,Morgan Williams,Toledo,Mid-American,receiving,YPR,9.7
481236,Julian Bellinger,Toledo,Mid-American,receiving,YDS,24
513386,Justin Olack,Toledo,Mid-American,receiving,REC,1
504624,David Fluellen,Toledo,Mid-American,receiving,YDS,155
381680,Cordale Scott,Toledo,Mid-American,receiving,YDS,66
381680,Cordale Scott,Toledo,Mid-American,receiving,TD,0
513386,Justin Olack,Toledo,Mid-American,receiving,YDS,10
481227,Eric Page,Toledo,Mid-American,receiving,YDS,1037
381680,Cordale Scott,Toledo,Mid-American,receiving,LONG,54
504646,Bernard Reedy,Toledo,Mid-American,receiving,REC,38
184595,Jerome Jones,Toledo,Mid-American,receiving,REC,10
237878,Danny Noble,Toledo,Mid-American,receiving,TD,2
501560,James Green,Toledo,Mid-American,receiving,TD,1
384630,Kenny Stafford,Toledo,Mid-American,receiving,YDS,264
384630,Kenny Stafford,Toledo,Mid-American,receiving,TD,1
384612,Darius Reeves,Toledo,Mid-American,receiving,REC,2
513380,Colby Kratch,Toledo,Mid-American,receiving,YPR,27.0
504646,Bernard Reedy,Toledo,Mid-American,receiving,LONG,63
237878,Danny Noble,Toledo,Mid-American,receiving,REC,4
242285,Morgan Williams,Toledo,Mid-American,receiving,LONG,31
381680,Cordale Scott,Toledo,Mid-American,receiving,YPR,16.5
184595,Jerome Jones,Toledo,Mid-American,receiving,TD,2
504646,Bernard Reedy,Toledo,Mid-American,receiving,YDS,716
504646,Bernard Reedy,Toledo,Mid-American,receiving,TD,8
384612,Darius Reeves,Toledo,Mid-American,receiving,LONG,8
381680,Cordale Scott,Toledo,Mid-American,receiving,REC,4
513380,Colby Kratch,Toledo,Mid-American,receiving,TD,0
513380,Colby Kratch,Toledo,Mid-American,receiving,YDS,54
504624,David Fluellen,Toledo,Mid-American,receiving,TD,2
481227,Eric Page,Toledo,Mid-American,receiving,YPR,9.5
184595,Jerome Jones,Toledo,Mid-American,receiving,YPR,15.5
513380,Colby Kratch,Toledo,Mid-American,receiving,LONG,40
501560,James Green,Toledo,Mid-American,receiving,LONG,39
501560,James Green,Toledo,Mid-American,receiving,YDS,118
384612,Darius Reeves,Toledo,Mid-American,receiving,YDS,13
384638,Jared Strait,Toledo,Mid-American,receiving,YPR,14.0
513386,Justin Olack,Toledo,Mid-American,receiving,TD,1
384630,Kenny Stafford,Toledo,Mid-American,receiving,YPR,13.2
242285,Morgan Williams,Toledo,Mid-American,receiving,TD,2
504639,Cassius McDowell,Toledo,Mid-American,receiving,TD,0
504624,David Fluellen,Toledo,Mid-American,receiving,LONG,43
384638,Jared Strait,Toledo,Mid-American,receiving,TD,0
501560,James Green,Toledo,Mid-American,receiving,YPR,13.1
237878,Danny Noble,Toledo,Mid-American,receiving,YPR,18.8
384612,Darius Reeves,Toledo,Mid-American,receiving,TD,0
481227,Eric Page,Toledo,Mid-American,receiving,LONG,66
384638,Jared Strait,Toledo,Mid-American,receiving,REC,1
481227,Eric Page,Toledo,Mid-American,receiving,TD,9
384630,Kenny Stafford,Toledo,Mid-American,receiving,REC,20
504635,Dwight Macon,Toledo,Mid-American,receiving,LONG,33
513380,Colby Kratch,Toledo,Mid-American,receiving,REC,2
504639,Cassius McDowell,Toledo,Mid-American,receiving,REC,2
384630,Kenny Stafford,Toledo,Mid-American,receiving,LONG,75
237878,Danny Noble,Toledo,Mid-American,receiving,LONG,30
504646,Bernard Reedy,Toledo,Mid-American,receiving,YPR,18.8
237652,Adonis Thomas,Toledo,Mid-American,receiving,LONG,44
501560,James Green,Toledo,Mid-American,receiving,REC,9
384612,Darius Reeves,Toledo,Mid-American,receiving,YPR,6.5
384638,Jared Strait,Toledo,Mid-American,receiving,LONG,14
481236,Julian Bellinger,Toledo,Mid-American,receiving,YPR,12.0
237652,Adonis Thomas,Toledo,Mid-American,receiving,REC,28
184595,Jerome Jones,Toledo,Mid-American,receiving,LONG,28
481236,Julian Bellinger,Toledo,Mid-American,receiving,TD,0
384638,Jared Strait,Toledo,Mid-American,receiving,YDS,14
237652,Adonis Thomas,Toledo,Mid-American,receiving,YPR,11.6
504624,David Fluellen,Toledo,Mid-American,receiving,REC,16
504639,Cassius McDowell,Toledo,Mid-American,receiving,LONG,7
237652,Adonis Thomas,Toledo,Mid-American,receiving,TD,1
504635,Dwight Macon,Toledo,Mid-American,receiving,REC,1
504635,Dwight Macon,Toledo,Mid-American,receiving,YDS,33
184595,Jerome Jones,Toledo,Mid-American,receiving,YDS,155
513386,Justin Olack,Toledo,Mid-American,receiving,YPR,10.0
481227,Eric Page,Toledo,Mid-American,receiving,REC,109
504639,Cassius McDowell,Toledo,Mid-American,receiving,YDS,10
504624,David Fluellen,Toledo,Mid-American,receiving,YPR,9.7
