playerId,player,team,conference,category,statType,stat
3126263,Charles Jones II,Tulane,American Athletic,receiving,REC,17
3917050,Devin Glenn,Tulane,American Athletic,receiving,YPR,2.5
532179,Devon Breaux,Tulane,American Athletic,receiving,YPR,17.2
3126263,Charles Jones II,Tulane,American Athletic,receiving,YPR,7.7
3923434,Rickey Preston,Tulane,American Athletic,receiving,YPR,10.3
532180,Joshua Rounds,Tulane,American Athletic,receiving,REC,8
3126250,Trey Scott,Tulane,American Athletic,receiving,LONG,35
3126244,Teddy Veal,Tulane,American Athletic,receiving,YDS,644
3126266,Kendall Ardoin,Tulane,American Athletic,receiving,LONG,15
3917053,Andrew Hicks,Tulane,American Athletic,receiving,TD,1
3126264,Terren Encalade,Tulane,American Athletic,receiving,REC,4
545762,Sherman Badie,Tulane,American Athletic,receiving,YPR,10.5
545762,Sherman Badie,Tulane,American Athletic,receiving,REC,27
532192,Larry Dace,Tulane,American Athletic,receiving,LONG,27
545762,Sherman Badie,Tulane,American Athletic,receiving,YDS,284
3923434,Rickey Preston,Tulane,American Athletic,receiving,YDS,82
3126250,Trey Scott,Tulane,American Athletic,receiving,YPR,11.4
3126246,Dontrell Hilliard,Tulane,American Athletic,receiving,TD,1
3126246,Dontrell Hilliard,Tulane,American Athletic,receiving,YPR,11.6
545762,Sherman Badie,Tulane,American Athletic,receiving,TD,0
3917053,Andrew Hicks,Tulane,American Athletic,receiving,LONG,34
532179,Devon Breaux,Tulane,American Athletic,receiving,YDS,431
3126250,Trey Scott,Tulane,American Athletic,receiving,REC,18
3917053,Andrew Hicks,Tulane,American Athletic,receiving,REC,2
3126250,Trey Scott,Tulane,American Athletic,receiving,YDS,205
3126264,Terren Encalade,Tulane,American Athletic,receiving,YPR,10.8
3126263,Charles Jones II,Tulane,American Athletic,receiving,TD,3
532192,Larry Dace,Tulane,American Athletic,receiving,YDS,125
3923434,Rickey Preston,Tulane,American Athletic,receiving,TD,1
3917050,Devin Glenn,Tulane,American Athletic,receiving,YDS,5
3923434,Rickey Preston,Tulane,American Athletic,receiving,REC,8
3126244,Teddy Veal,Tulane,American Athletic,receiving,LONG,90
3126250,Trey Scott,Tulane,American Athletic,receiving,TD,0
532180,Joshua Rounds,Tulane,American Athletic,receiving,YDS,61
3126266,Kendall Ardoin,Tulane,American Athletic,receiving,YPR,8.7
3126264,Terren Encalade,Tulane,American Athletic,receiving,YDS,43
3126263,Charles Jones II,Tulane,American Athletic,receiving,YDS,131
3126264,Terren Encalade,Tulane,American Athletic,receiving,LONG,20
532180,Joshua Rounds,Tulane,American Athletic,receiving,LONG,16
514773,Rob Kelley,Tulane,American Athletic,receiving,YPR,5.5
532192,Larry Dace,Tulane,American Athletic,receiving,REC,11
3126244,Teddy Veal,Tulane,American Athletic,receiving,REC,48
3126244,Teddy Veal,Tulane,American Athletic,receiving,TD,5
3917053,Andrew Hicks,Tulane,American Athletic,receiving,YPR,26.0
3126263,Charles Jones II,Tulane,American Athletic,receiving,LONG,28
514773,Rob Kelley,Tulane,American Athletic,receiving,YDS,33
3917050,Devin Glenn,Tulane,American Athletic,receiving,TD,0
532180,Joshua Rounds,Tulane,American Athletic,receiving,YPR,7.6
3126266,Kendall Ardoin,Tulane,American Athletic,receiving,YDS,52
3126244,Teddy Veal,Tulane,American Athletic,receiving,YPR,13.4
545762,Sherman Badie,Tulane,American Athletic,receiving,LONG,51
514773,Rob Kelley,Tulane,American Athletic,receiving,LONG,26
532179,Devon Breaux,Tulane,American Athletic,receiving,LONG,76
532192,Larry Dace,Tulane,American Athletic,receiving,TD,1
3126266,Kendall Ardoin,Tulane,American Athletic,receiving,TD,2
3917050,Devin Glenn,Tulane,American Athletic,receiving,REC,2
532179,Devon Breaux,Tulane,American Athletic,receiving,REC,25
3917053,Andrew Hicks,Tulane,American Athletic,receiving,YDS,52
3126246,Dontrell Hilliard,Tulane,American Athletic,receiving,LONG,66
532180,Joshua Rounds,Tulane,American Athletic,receiving,TD,0
3126246,Dontrell Hilliard,Tulane,American Athletic,receiving,REC,23
3917050,Devin Glenn,Tulane,American Athletic,receiving,LONG,5
3126266,Kendall Ardoin,Tulane,American Athletic,receiving,REC,6
532192,Larry Dace,Tulane,American Athletic,receiving,YPR,11.4
532179,Devon Breaux,Tulane,American Athletic,receiving,TD,3
514773,Rob Kelley,Tulane,American Athletic,receiving,TD,1
3923434,Rickey Preston,Tulane,American Athletic,receiving,LONG,17
3126246,Dontrell Hilliard,Tulane,American Athletic,receiving,YDS,267
514773,Rob Kelley,Tulane,American Athletic,receiving,REC,6
3126264,Terren Encalade,Tulane,American Athletic,receiving,TD,0
