playerId,player,team,conference,category,statType,stat
4430388,DeWayne McBride,UAB,Conference USA,receiving,YDS,19
4570047,TJ Jones,UAB,Conference USA,receiving,YPR,6.3
4570132,Ryan Davis,UAB,Conference USA,receiving,YDS,161
4570047,TJ Jones,UAB,Conference USA,receiving,TD,0
4875912,Tejhaun Palmer,UAB,Conference USA,receiving,REC,6
4875912,Tejhaun Palmer,UAB,Conference USA,receiving,YPR,12.0
4570115,Samario Rudolph,UAB,Conference USA,receiving,YDS,41
4689650,Trea Shropshire,UAB,Conference USA,receiving,TD,7
4374361,Gerrit Prince,UAB,Conference USA,receiving,REC,36
4374361,Gerrit Prince,UAB,Conference USA,receiving,YDS,699
4689650,Trea Shropshire,UAB,Conference USA,receiving,YDS,703
4239812,Hayden Pittman,UAB,Conference USA,receiving,YPR,8.7
4239821,Lucious Stanley,UAB,Conference USA,receiving,YDS,56
4570115,Samario Rudolph,UAB,Conference USA,receiving,YPR,6.8
4239821,Lucious Stanley,UAB,Conference USA,receiving,LONG,19
4570115,Samario Rudolph,UAB,Conference USA,receiving,TD,1
4374361,Gerrit Prince,UAB,Conference USA,receiving,YPR,19.4
4570115,Samario Rudolph,UAB,Conference USA,receiving,REC,6
4570105,RaJae' Johnson,UAB,Conference USA,receiving,TD,1
4239812,Hayden Pittman,UAB,Conference USA,receiving,REC,22
4570132,Ryan Davis,UAB,Conference USA,receiving,TD,0
4239821,Lucious Stanley,UAB,Conference USA,receiving,TD,0
4570132,Ryan Davis,UAB,Conference USA,receiving,LONG,32
4570105,RaJae' Johnson,UAB,Conference USA,receiving,REC,23
4430388,DeWayne McBride,UAB,Conference USA,receiving,TD,0
4570130,Jermaine Brown Jr.,UAB,Conference USA,receiving,TD,0
4430964,A.j. Davis,UAB,Conference USA,receiving,REC,10
4689650,Trea Shropshire,UAB,Conference USA,receiving,LONG,74
4570130,Jermaine Brown Jr.,UAB,Conference USA,receiving,REC,23
4570130,Jermaine Brown Jr.,UAB,Conference USA,receiving,YDS,200
4430964,A.j. Davis,UAB,Conference USA,receiving,TD,0
4875912,Tejhaun Palmer,UAB,Conference USA,receiving,YDS,72
4570130,Jermaine Brown Jr.,UAB,Conference USA,receiving,YPR,8.7
4374361,Gerrit Prince,UAB,Conference USA,receiving,TD,10
4239812,Hayden Pittman,UAB,Conference USA,receiving,TD,1
4570047,TJ Jones,UAB,Conference USA,receiving,REC,8
4570132,Ryan Davis,UAB,Conference USA,receiving,REC,13
4570105,RaJae' Johnson,UAB,Conference USA,receiving,YDS,394
4875912,Tejhaun Palmer,UAB,Conference USA,receiving,LONG,18
4430964,A.j. Davis,UAB,Conference USA,receiving,LONG,23
4430388,DeWayne McBride,UAB,Conference USA,receiving,LONG,7
4430964,A.j. Davis,UAB,Conference USA,receiving,YPR,9.5
4239821,Lucious Stanley,UAB,Conference USA,receiving,REC,5
4239821,Lucious Stanley,UAB,Conference USA,receiving,YPR,11.2
4689650,Trea Shropshire,UAB,Conference USA,receiving,YPR,26.0
4570130,Jermaine Brown Jr.,UAB,Conference USA,receiving,LONG,32
4570105,RaJae' Johnson,UAB,Conference USA,receiving,LONG,63
4430964,A.j. Davis,UAB,Conference USA,receiving,YDS,95
4570115,Samario Rudolph,UAB,Conference USA,receiving,LONG,25
4374361,Gerrit Prince,UAB,Conference USA,receiving,LONG,72
4570047,TJ Jones,UAB,Conference USA,receiving,LONG,20
4430388,DeWayne McBride,UAB,Conference USA,receiving,REC,3
4430388,DeWayne McBride,UAB,Conference USA,receiving,YPR,6.3
4570047,TJ Jones,UAB,Conference USA,receiving,YDS,50
4239812,Hayden Pittman,UAB,Conference USA,receiving,YDS,192
4689650,Trea Shropshire,UAB,Conference USA,receiving,REC,27
4239812,Hayden Pittman,UAB,Conference USA,receiving,LONG,32
4570105,RaJae' Johnson,UAB,Conference USA,receiving,YPR,17.1
4875912,Tejhaun Palmer,UAB,Conference USA,receiving,TD,0
4570132,Ryan Davis,UAB,Conference USA,receiving,YPR,12.4
