playerId,player,team,conference,category,statType,stat
3125315,Devonte Boyd,UNLV,Mountain West,receiving,YPR,16.7
3921698,Xzaviar Campbell,UNLV,Mountain West,receiving,YDS,8
534212,Anthony Williams,UNLV,Mountain West,receiving,LONG,16
552507,Aaron Criswell,UNLV,Mountain West,receiving,REC,22
534207,Andrew Price,UNLV,Mountain West,receiving,YPR,10.2
3921706,Brandon Presley,UNLV,Mountain West,receiving,YDS,28
3921706,Brandon Presley,UNLV,Mountain West,receiving,TD,1
552507,Aaron Criswell,UNLV,Mountain West,receiving,YPR,18.9
3921708,Lexington Thomas,UNLV,Mountain West,receiving,REC,10
534207,Andrew Price,UNLV,Mountain West,receiving,REC,17
552526,Keith Whitely,UNLV,Mountain West,receiving,YPR,9.1
534207,Andrew Price,UNLV,Mountain West,receiving,LONG,25
517183,Jake Phillips,UNLV,Mountain West,receiving,REC,8
552526,Keith Whitely,UNLV,Mountain West,receiving,YDS,154
534207,Andrew Price,UNLV,Mountain West,receiving,TD,1
534212,Anthony Williams,UNLV,Mountain West,receiving,TD,0
3921706,Brandon Presley,UNLV,Mountain West,receiving,LONG,13
546290,Kendal Keys,UNLV,Mountain West,receiving,LONG,61
546290,Kendal Keys,UNLV,Mountain West,receiving,YPR,12.0
3921698,Xzaviar Campbell,UNLV,Mountain West,receiving,YPR,1.6
3125329,George Naufahu,UNLV,Mountain West,receiving,YDS,32
3921708,Lexington Thomas,UNLV,Mountain West,receiving,YPR,10.0
546290,Kendal Keys,UNLV,Mountain West,receiving,TD,6
517183,Jake Phillips,UNLV,Mountain West,receiving,LONG,23
3921698,Xzaviar Campbell,UNLV,Mountain West,receiving,TD,1
3921708,Lexington Thomas,UNLV,Mountain West,receiving,YDS,100
552526,Keith Whitely,UNLV,Mountain West,receiving,REC,17
3125329,George Naufahu,UNLV,Mountain West,receiving,TD,0
517183,Jake Phillips,UNLV,Mountain West,receiving,YDS,94
534212,Anthony Williams,UNLV,Mountain West,receiving,REC,12
552526,Keith Whitely,UNLV,Mountain West,receiving,LONG,40
552507,Aaron Criswell,UNLV,Mountain West,receiving,LONG,85
3125315,Devonte Boyd,UNLV,Mountain West,receiving,REC,54
3125315,Devonte Boyd,UNLV,Mountain West,receiving,YDS,904
3921698,Xzaviar Campbell,UNLV,Mountain West,receiving,LONG,6
534207,Andrew Price,UNLV,Mountain West,receiving,YDS,173
546290,Kendal Keys,UNLV,Mountain West,receiving,REC,43
3125315,Devonte Boyd,UNLV,Mountain West,receiving,TD,7
3921708,Lexington Thomas,UNLV,Mountain West,receiving,LONG,26
3921706,Brandon Presley,UNLV,Mountain West,receiving,REC,3
3921708,Lexington Thomas,UNLV,Mountain West,receiving,TD,0
3921698,Xzaviar Campbell,UNLV,Mountain West,receiving,REC,5
3125329,George Naufahu,UNLV,Mountain West,receiving,REC,5
534212,Anthony Williams,UNLV,Mountain West,receiving,YDS,113
3125315,Devonte Boyd,UNLV,Mountain West,receiving,LONG,75
552507,Aaron Criswell,UNLV,Mountain West,receiving,YDS,416
517183,Jake Phillips,UNLV,Mountain West,receiving,YPR,11.8
534212,Anthony Williams,UNLV,Mountain West,receiving,YPR,9.4
552507,Aaron Criswell,UNLV,Mountain West,receiving,TD,3
546290,Kendal Keys,UNLV,Mountain West,receiving,YDS,515
3125329,George Naufahu,UNLV,Mountain West,receiving,LONG,11
3921706,Brandon Presley,UNLV,Mountain West,receiving,YPR,9.3
3125329,George Naufahu,UNLV,Mountain West,receiving,YPR,6.4
552526,Keith Whitely,UNLV,Mountain West,receiving,TD,1
517183,Jake Phillips,UNLV,Mountain West,receiving,TD,1
