playerId,player,team,conference,category,statType,stat
4683227,Joseph Manjack,USC,Pac-12,receiving,YPR,9.6
4429125,Gary Bryant Jr.,USC,Pac-12,receiving,LONG,62
4259649,Erik Krommenhoek,USC,Pac-12,receiving,LONG,20
4426357,Kyle Ford,USC,Pac-12,receiving,LONG,45
4433965,Brandon Campbell,USC,Pac-12,receiving,LONG,16
4362087,Keaontay Ingram,USC,Pac-12,receiving,LONG,32
4592573,Michael Jackson III,USC,Pac-12,receiving,TD,0
4035695,Vavae Malepeai,USC,Pac-12,receiving,TD,0
4433965,Brandon Campbell,USC,Pac-12,receiving,REC,1
4428921,Jude Wolfe,USC,Pac-12,receiving,YDS,56
4569510,John Jackson III,USC,Pac-12,receiving,LONG,7
4243168,K.D. Nixon,USC,Pac-12,receiving,LONG,16
4362087,Keaontay Ingram,USC,Pac-12,receiving,YDS,156
4243168,K.D. Nixon,USC,Pac-12,receiving,REC,3
4362087,Keaontay Ingram,USC,Pac-12,receiving,YPR,7.1
4432784,Kyron Ware-Hudson,USC,Pac-12,receiving,LONG,5
4569510,John Jackson III,USC,Pac-12,receiving,YDS,16
4426502,Drake London,USC,Pac-12,receiving,REC,88
4362110,Malcolm Epps,USC,Pac-12,receiving,YPR,17.3
4243168,K.D. Nixon,USC,Pac-12,receiving,YPR,11.7
4259649,Erik Krommenhoek,USC,Pac-12,receiving,REC,15
4259649,Erik Krommenhoek,USC,Pac-12,receiving,YPR,9.1
4433965,Brandon Campbell,USC,Pac-12,receiving,YPR,16.0
4683227,Joseph Manjack,USC,Pac-12,receiving,TD,0
4259649,Erik Krommenhoek,USC,Pac-12,receiving,YDS,137
4569510,John Jackson III,USC,Pac-12,receiving,TD,0
4259649,Erik Krommenhoek,USC,Pac-12,receiving,TD,1
4426357,Kyle Ford,USC,Pac-12,receiving,YDS,252
4594749,Michael Trigg,USC,Pac-12,receiving,LONG,46
4362110,Malcolm Epps,USC,Pac-12,receiving,LONG,41
4569510,John Jackson III,USC,Pac-12,receiving,REC,3
4035695,Vavae Malepeai,USC,Pac-12,receiving,REC,12
4428921,Jude Wolfe,USC,Pac-12,receiving,YPR,7.0
4566198,Lake McRee,USC,Pac-12,receiving,REC,7
4566198,Lake McRee,USC,Pac-12,receiving,YPR,13.0
4426635,Darwin Barlow,USC,Pac-12,receiving,YPR,5.5
4426635,Darwin Barlow,USC,Pac-12,receiving,REC,4
4426502,Drake London,USC,Pac-12,receiving,LONG,44
4592573,Michael Jackson III,USC,Pac-12,receiving,REC,12
4567506,Tahj Washington,USC,Pac-12,receiving,REC,54
4035695,Vavae Malepeai,USC,Pac-12,receiving,YDS,65
4566198,Lake McRee,USC,Pac-12,receiving,LONG,19
4426635,Darwin Barlow,USC,Pac-12,receiving,TD,0
4035695,Vavae Malepeai,USC,Pac-12,receiving,LONG,14
4243168,K.D. Nixon,USC,Pac-12,receiving,YDS,35
4426357,Kyle Ford,USC,Pac-12,receiving,REC,19
4594749,Michael Trigg,USC,Pac-12,receiving,YPR,15.6
4592573,Michael Jackson III,USC,Pac-12,receiving,LONG,21
4594749,Michael Trigg,USC,Pac-12,receiving,REC,7
4428921,Jude Wolfe,USC,Pac-12,receiving,REC,8
4432784,Kyron Ware-Hudson,USC,Pac-12,receiving,REC,2
4362110,Malcolm Epps,USC,Pac-12,receiving,TD,1
4683227,Joseph Manjack,USC,Pac-12,receiving,LONG,42
4569510,John Jackson III,USC,Pac-12,receiving,YPR,5.3
4566198,Lake McRee,USC,Pac-12,receiving,TD,0
4426635,Darwin Barlow,USC,Pac-12,receiving,YDS,22
4433965,Brandon Campbell,USC,Pac-12,receiving,TD,0
4429125,Gary Bryant Jr.,USC,Pac-12,receiving,TD,7
4432784,Kyron Ware-Hudson,USC,Pac-12,receiving,YPR,2.0
4592573,Michael Jackson III,USC,Pac-12,receiving,YPR,9.7
