playerId,player,team,conference,category,statType,stat
4689887,Josh Farr,UTEP,Conference USA,receiving,TD,0
4571194,Marcus Bellon,UTEP,Conference USA,receiving,LONG,52
4575667,Deion Hankins,UTEP,Conference USA,receiving,TD,0
4362052,Trent Thompson,UTEP,Conference USA,receiving,REC,9
4880664,Jostein Clarke,UTEP,Conference USA,receiving,LONG,8
4362045,James Tupou,UTEP,Conference USA,receiving,REC,12
4362040,Reynaldo Flores,UTEP,Conference USA,receiving,YDS,539
4362045,James Tupou,UTEP,Conference USA,receiving,TD,2
4048768,Walter Dawn Jr.,UTEP,Conference USA,receiving,REC,7
4689887,Josh Farr,UTEP,Conference USA,receiving,YDS,-16
5082289,Kelly Akharaiyi,UTEP,Conference USA,receiving,TD,1
4880664,Jostein Clarke,UTEP,Conference USA,receiving,REC,3
4689887,Josh Farr,UTEP,Conference USA,receiving,REC,1
4362045,James Tupou,UTEP,Conference USA,receiving,YPR,12.7
4575667,Deion Hankins,UTEP,Conference USA,receiving,LONG,16
5088888,Torrance Burgess Jr.,UTEP,Conference USA,receiving,REC,1
4689888,Luke Soto,UTEP,Conference USA,receiving,TD,0
4245242,Ronald Awatt,UTEP,Conference USA,receiving,LONG,34
5088888,Torrance Burgess Jr.,UTEP,Conference USA,receiving,TD,0
4571194,Marcus Bellon,UTEP,Conference USA,receiving,YDS,83
4362040,Reynaldo Flores,UTEP,Conference USA,receiving,REC,49
4875687,Tyrin Smith,UTEP,Conference USA,receiving,YPR,14.5
4875687,Tyrin Smith,UTEP,Conference USA,receiving,REC,72
4689890,Zach Fryar,UTEP,Conference USA,receiving,LONG,15
4689888,Luke Soto,UTEP,Conference USA,receiving,YDS,21
4880664,Jostein Clarke,UTEP,Conference USA,receiving,YPR,5.0
4575667,Deion Hankins,UTEP,Conference USA,receiving,YDS,42
4362052,Trent Thompson,UTEP,Conference USA,receiving,YDS,203
4362045,James Tupou,UTEP,Conference USA,receiving,YDS,152
4362040,Reynaldo Flores,UTEP,Conference USA,receiving,LONG,38
4571194,Marcus Bellon,UTEP,Conference USA,receiving,YPR,16.6
5088888,Torrance Burgess Jr.,UTEP,Conference USA,receiving,LONG,13
4689890,Zach Fryar,UTEP,Conference USA,receiving,YDS,20
4362052,Trent Thompson,UTEP,Conference USA,receiving,LONG,56
4689890,Zach Fryar,UTEP,Conference USA,receiving,REC,2
4362040,Reynaldo Flores,UTEP,Conference USA,receiving,TD,1
4682654,Jeremiah Ballard,UTEP,Conference USA,receiving,TD,1
4048768,Walter Dawn Jr.,UTEP,Conference USA,receiving,YPR,5.3
4362052,Trent Thompson,UTEP,Conference USA,receiving,YPR,22.6
5082289,Kelly Akharaiyi,UTEP,Conference USA,receiving,LONG,68
4689888,Luke Soto,UTEP,Conference USA,receiving,LONG,21
4048768,Walter Dawn Jr.,UTEP,Conference USA,receiving,TD,0
4689887,Josh Farr,UTEP,Conference USA,receiving,LONG,-16
4682654,Jeremiah Ballard,UTEP,Conference USA,receiving,YDS,118
5082289,Kelly Akharaiyi,UTEP,Conference USA,receiving,YDS,275
4571194,Marcus Bellon,UTEP,Conference USA,receiving,REC,5
4245242,Ronald Awatt,UTEP,Conference USA,receiving,REC,6
5082289,Kelly Akharaiyi,UTEP,Conference USA,receiving,YPR,13.1
4575667,Deion Hankins,UTEP,Conference USA,receiving,REC,4
4245242,Ronald Awatt,UTEP,Conference USA,receiving,YPR,12.7
4245242,Ronald Awatt,UTEP,Conference USA,receiving,TD,0
4362045,James Tupou,UTEP,Conference USA,receiving,LONG,24
4689890,Zach Fryar,UTEP,Conference USA,receiving,TD,0
4362052,Trent Thompson,UTEP,Conference USA,receiving,TD,2
4689887,Josh Farr,UTEP,Conference USA,receiving,YPR,-16.0
5088888,Torrance Burgess Jr.,UTEP,Conference USA,receiving,YDS,13
4689888,Luke Soto,UTEP,Conference USA,receiving,YPR,21.0
4689890,Zach Fryar,UTEP,Conference USA,receiving,YPR,10.0
4245242,Ronald Awatt,UTEP,Conference USA,receiving,YDS,76
4362040,Reynaldo Flores,UTEP,Conference USA,receiving,YPR,11.0
4048768,Walter Dawn Jr.,UTEP,Conference USA,receiving,YDS,37
4875687,Tyrin Smith,UTEP,Conference USA,receiving,YDS,1047
4682654,Jeremiah Ballard,UTEP,Conference USA,receiving,LONG,42
5082289,Kelly Akharaiyi,UTEP,Conference USA,receiving,REC,21
4682654,Jeremiah Ballard,UTEP,Conference USA,receiving,REC,10
4880664,Jostein Clarke,UTEP,Conference USA,receiving,YDS,15
4682654,Jeremiah Ballard,UTEP,Conference USA,receiving,YPR,11.8
4875687,Tyrin Smith,UTEP,Conference USA,receiving,LONG,76
4880664,Jostein Clarke,UTEP,Conference USA,receiving,TD,0
5088888,Torrance Burgess Jr.,UTEP,Conference USA,receiving,YPR,13.0
4048768,Walter Dawn Jr.,UTEP,Conference USA,receiving,LONG,15
4875687,Tyrin Smith,UTEP,Conference USA,receiving,TD,7
4571194,Marcus Bellon,UTEP,Conference USA,receiving,TD,1
4575667,Deion Hankins,UTEP,Conference USA,receiving,YPR,10.5
4689888,Luke Soto,UTEP,Conference USA,receiving,REC,1
