playerId,player,team,conference,category,statType,stat
149368,Jake Thompson,Utah State,Mountain West,receiving,YDS,12
550807,Wyatt Houston,Utah State,Mountain West,receiving,TD,2
550808,Braelon Roberts,Utah State,Mountain West,receiving,YPR,11.7
3932962,Ethan Cortazzo,Utah State,Mountain West,receiving,YPR,3.0
3125358,Zach Van Leeuwen,Utah State,Mountain West,receiving,REC,8
3918034,Gerold Bright,Utah State,Mountain West,receiving,LONG,18
3125358,Zach Van Leeuwen,Utah State,Mountain West,receiving,YDS,70
3918026,Devante Mays,Utah State,Mountain West,receiving,REC,1
550807,Wyatt Houston,Utah State,Mountain West,receiving,LONG,28
3125361,LaJuan Hunt,Utah State,Mountain West,receiving,REC,6
4036376,Alex Byers,Utah State,Mountain West,receiving,REC,2
4048681,Ron'quavion Tarver,Utah State,Mountain West,receiving,YDS,602
3125372,Landon Horne,Utah State,Mountain West,receiving,TD,0
550808,Braelon Roberts,Utah State,Mountain West,receiving,YDS,175
3918031,Chad Artist,Utah State,Mountain West,receiving,LONG,0
550797,Kennedy Williams,Utah State,Mountain West,receiving,REC,7
4048681,Ron'quavion Tarver,Utah State,Mountain West,receiving,TD,3
536467,Andrew Rodriguez,Utah State,Mountain West,receiving,REC,26
3125368,Justen Hervey,Utah State,Mountain West,receiving,REC,1
3918031,Chad Artist,Utah State,Mountain West,receiving,YDS,0
536467,Andrew Rodriguez,Utah State,Mountain West,receiving,TD,1
3918026,Devante Mays,Utah State,Mountain West,receiving,YDS,8
4036376,Alex Byers,Utah State,Mountain West,receiving,YPR,24.5
3125358,Zach Van Leeuwen,Utah State,Mountain West,receiving,YPR,8.8
4048676,Rayshad Lewis,Utah State,Mountain West,receiving,YDS,469
4048676,Rayshad Lewis,Utah State,Mountain West,receiving,LONG,68
550807,Wyatt Houston,Utah State,Mountain West,receiving,YPR,9.2
149368,Jake Thompson,Utah State,Mountain West,receiving,TD,0
3139982,Tonny Lindsey Jr.,Utah State,Mountain West,receiving,YPR,7.2
4036376,Alex Byers,Utah State,Mountain West,receiving,LONG,43
550808,Braelon Roberts,Utah State,Mountain West,receiving,TD,1
550535,Jaren Colston-Green,Utah State,Mountain West,receiving,TD,1
3125361,LaJuan Hunt,Utah State,Mountain West,receiving,YPR,10.7
149368,Jake Thompson,Utah State,Mountain West,receiving,YPR,12.0
3918034,Gerold Bright,Utah State,Mountain West,receiving,YPR,11.2
550797,Kennedy Williams,Utah State,Mountain West,receiving,LONG,12
3918031,Chad Artist,Utah State,Mountain West,receiving,TD,0
4036376,Alex Byers,Utah State,Mountain West,receiving,TD,0
3139982,Tonny Lindsey Jr.,Utah State,Mountain West,receiving,YDS,123
3125361,LaJuan Hunt,Utah State,Mountain West,receiving,YDS,64
4048676,Rayshad Lewis,Utah State,Mountain West,receiving,TD,2
3918026,Devante Mays,Utah State,Mountain West,receiving,TD,0
3918031,Chad Artist,Utah State,Mountain West,receiving,YPR,0.0
3932962,Ethan Cortazzo,Utah State,Mountain West,receiving,TD,0
3125372,Landon Horne,Utah State,Mountain West,receiving,YPR,6.0
3125361,LaJuan Hunt,Utah State,Mountain West,receiving,LONG,27
3932962,Ethan Cortazzo,Utah State,Mountain West,receiving,YDS,3
3125358,Zach Van Leeuwen,Utah State,Mountain West,receiving,LONG,17
4048681,Ron'quavion Tarver,Utah State,Mountain West,receiving,REC,46
3125368,Justen Hervey,Utah State,Mountain West,receiving,YPR,0.0
3139982,Tonny Lindsey Jr.,Utah State,Mountain West,receiving,LONG,41
3125372,Landon Horne,Utah State,Mountain West,receiving,YDS,12
3125368,Justen Hervey,Utah State,Mountain West,receiving,TD,0
536467,Andrew Rodriguez,Utah State,Mountain West,receiving,YDS,286
550535,Jaren Colston-Green,Utah State,Mountain West,receiving,LONG,49
550535,Jaren Colston-Green,Utah State,Mountain West,receiving,YDS,176
3918034,Gerold Bright,Utah State,Mountain West,receiving,REC,5
4048676,Rayshad Lewis,Utah State,Mountain West,receiving,YPR,11.7
3918031,Chad Artist,Utah State,Mountain West,receiving,REC,1
550535,Jaren Colston-Green,Utah State,Mountain West,receiving,REC,6
550797,Kennedy Williams,Utah State,Mountain West,receiving,YPR,5.4
3125372,Landon Horne,Utah State,Mountain West,receiving,LONG,7
3918026,Devante Mays,Utah State,Mountain West,receiving,YPR,8.0
536467,Andrew Rodriguez,Utah State,Mountain West,receiving,LONG,31
3139982,Tonny Lindsey Jr.,Utah State,Mountain West,receiving,TD,0
550797,Kennedy Williams,Utah State,Mountain West,receiving,TD,0
3918034,Gerold Bright,Utah State,Mountain West,receiving,YDS,56
550797,Kennedy Williams,Utah State,Mountain West,receiving,YDS,38
4048681,Ron'quavion Tarver,Utah State,Mountain West,receiving,YPR,13.1
536467,Andrew Rodriguez,Utah State,Mountain West,receiving,YPR,11.0
3932962,Ethan Cortazzo,Utah State,Mountain West,receiving,LONG,3
3918026,Devante Mays,Utah State,Mountain West,receiving,LONG,8
149368,Jake Thompson,Utah State,Mountain West,receiving,LONG,12
4036376,Alex Byers,Utah State,Mountain West,receiving,YDS,49
3125358,Zach Van Leeuwen,Utah State,Mountain West,receiving,TD,0
3139982,Tonny Lindsey Jr.,Utah State,Mountain West,receiving,REC,17
550807,Wyatt Houston,Utah State,Mountain West,receiving,REC,36
550808,Braelon Roberts,Utah State,Mountain West,receiving,LONG,28
3125368,Justen Hervey,Utah State,Mountain West,receiving,LONG,0
3932962,Ethan Cortazzo,Utah State,Mountain West,receiving,REC,1
3125372,Landon Horne,Utah State,Mountain West,receiving,REC,2
550807,Wyatt Houston,Utah State,Mountain West,receiving,YDS,331
3125368,Justen Hervey,Utah State,Mountain West,receiving,YDS,0
550535,Jaren Colston-Green,Utah State,Mountain West,receiving,YPR,29.3
3918034,Gerold Bright,Utah State,Mountain West,receiving,TD,0
149368,Jake Thompson,Utah State,Mountain West,receiving,REC,1
3125361,LaJuan Hunt,Utah State,Mountain West,receiving,TD,0
550808,Braelon Roberts,Utah State,Mountain West,receiving,REC,15
4048676,Rayshad Lewis,Utah State,Mountain West,receiving,REC,40
4048681,Ron'quavion Tarver,Utah State,Mountain West,receiving,LONG,42
