playerId,player,team,conference,category,statType,stat
550221,Harrison Handley,Utah,Pac-12,receiving,YPR,5.3
3912573,Darrin Paulo,Utah,Pac-12,receiving,TD,1
550666,Darren Carrington II,Utah,Pac-12,receiving,LONG,46
3912571,Kyle Fulks,Utah,Pac-12,receiving,YDS,31
3926244,Siaosi Wilson,Utah,Pac-12,receiving,REC,20
546876,Troy Williams,Utah,Pac-12,receiving,REC,1
4035680,Demari Simpkins,Utah,Pac-12,receiving,TD,1
4035676,Zack Moss,Utah,Pac-12,receiving,TD,0
550228,Troy McCormick Jr.,Utah,Pac-12,receiving,TD,2
4243261,Bryan Thompson,Utah,Pac-12,receiving,YDS,77
546876,Troy Williams,Utah,Pac-12,receiving,TD,1
3912573,Darrin Paulo,Utah,Pac-12,receiving,YDS,1
550228,Troy McCormick Jr.,Utah,Pac-12,receiving,YDS,183
4035676,Zack Moss,Utah,Pac-12,receiving,YPR,8.4
4035676,Zack Moss,Utah,Pac-12,receiving,LONG,25
4035676,Zack Moss,Utah,Pac-12,receiving,YDS,243
3926244,Siaosi Wilson,Utah,Pac-12,receiving,YDS,393
4243261,Bryan Thompson,Utah,Pac-12,receiving,LONG,29
3912573,Darrin Paulo,Utah,Pac-12,receiving,YPR,1.0
4243261,Bryan Thompson,Utah,Pac-12,receiving,REC,5
4048099,Samson Nacua,Utah,Pac-12,receiving,LONG,23
3912573,Darrin Paulo,Utah,Pac-12,receiving,LONG,1
4035680,Demari Simpkins,Utah,Pac-12,receiving,YPR,12.2
3894886,Jake Jackson,Utah,Pac-12,receiving,REC,3
3912573,Darrin Paulo,Utah,Pac-12,receiving,REC,1
3122877,Raelon Singleton,Utah,Pac-12,receiving,TD,4
3122877,Raelon Singleton,Utah,Pac-12,receiving,LONG,50
3912571,Kyle Fulks,Utah,Pac-12,receiving,YPR,10.3
3122877,Raelon Singleton,Utah,Pac-12,receiving,YPR,14.8
3894886,Jake Jackson,Utah,Pac-12,receiving,TD,0
3134341,Jameson Field,Utah,Pac-12,receiving,REC,2
3912571,Kyle Fulks,Utah,Pac-12,receiving,TD,0
3926244,Siaosi Wilson,Utah,Pac-12,receiving,LONG,48
550666,Darren Carrington II,Utah,Pac-12,receiving,TD,6
3134341,Jameson Field,Utah,Pac-12,receiving,TD,0
3134341,Jameson Field,Utah,Pac-12,receiving,YDS,12
550220,Siale Fakailoatonga,Utah,Pac-12,receiving,YDS,67
3122877,Raelon Singleton,Utah,Pac-12,receiving,YDS,531
3134341,Jameson Field,Utah,Pac-12,receiving,YPR,6.0
546876,Troy Williams,Utah,Pac-12,receiving,YPR,5.0
550220,Siale Fakailoatonga,Utah,Pac-12,receiving,TD,0
4048099,Samson Nacua,Utah,Pac-12,receiving,YPR,10.1
3894886,Jake Jackson,Utah,Pac-12,receiving,YPR,15.3
550228,Troy McCormick Jr.,Utah,Pac-12,receiving,LONG,75
550221,Harrison Handley,Utah,Pac-12,receiving,LONG,12
3122877,Raelon Singleton,Utah,Pac-12,receiving,REC,36
550666,Darren Carrington II,Utah,Pac-12,receiving,YDS,980
550228,Troy McCormick Jr.,Utah,Pac-12,receiving,YPR,7.3
3894886,Jake Jackson,Utah,Pac-12,receiving,LONG,39
4048099,Samson Nacua,Utah,Pac-12,receiving,YDS,294
4035680,Demari Simpkins,Utah,Pac-12,receiving,YDS,354
535584,Cody Ippolito,Utah,Pac-12,receiving,TD,1
550666,Darren Carrington II,Utah,Pac-12,receiving,YPR,14.0
3134341,Jameson Field,Utah,Pac-12,receiving,LONG,10
550220,Siale Fakailoatonga,Utah,Pac-12,receiving,LONG,37
550220,Siale Fakailoatonga,Utah,Pac-12,receiving,YPR,22.3
3926244,Siaosi Wilson,Utah,Pac-12,receiving,TD,1
550221,Harrison Handley,Utah,Pac-12,receiving,TD,0
4048099,Samson Nacua,Utah,Pac-12,receiving,TD,1
3894886,Jake Jackson,Utah,Pac-12,receiving,YDS,46
550220,Siale Fakailoatonga,Utah,Pac-12,receiving,REC,3
546876,Troy Williams,Utah,Pac-12,receiving,YDS,5
4243261,Bryan Thompson,Utah,Pac-12,receiving,YPR,15.4
3912571,Kyle Fulks,Utah,Pac-12,receiving,LONG,14
4243261,Bryan Thompson,Utah,Pac-12,receiving,TD,0
546876,Troy Williams,Utah,Pac-12,receiving,LONG,5
535584,Cody Ippolito,Utah,Pac-12,receiving,YDS,9
550221,Harrison Handley,Utah,Pac-12,receiving,YDS,16
550221,Harrison Handley,Utah,Pac-12,receiving,REC,3
535584,Cody Ippolito,Utah,Pac-12,receiving,YPR,4.5
4035680,Demari Simpkins,Utah,Pac-12,receiving,REC,29
4035680,Demari Simpkins,Utah,Pac-12,receiving,LONG,71
535584,Cody Ippolito,Utah,Pac-12,receiving,REC,2
535584,Cody Ippolito,Utah,Pac-12,receiving,LONG,7
4035676,Zack Moss,Utah,Pac-12,receiving,REC,29
4048099,Samson Nacua,Utah,Pac-12,receiving,REC,29
3912571,Kyle Fulks,Utah,Pac-12,receiving,REC,3
550228,Troy McCormick Jr.,Utah,Pac-12,receiving,REC,25
3926244,Siaosi Wilson,Utah,Pac-12,receiving,YPR,19.7
550666,Darren Carrington II,Utah,Pac-12,receiving,REC,70
