playerId,player,team,conference,category,statType,stat
3917916,Tanner Cowley,Virginia,ACC,receiving,TD,1
4037591,Joe Reed,Virginia,ACC,receiving,REC,77
4370813,Wayne Taulapapa,Virginia,ACC,receiving,YPR,4.6
4240838,Terrell Jana,Virginia,ACC,receiving,YPR,12.0
4037591,Joe Reed,Virginia,ACC,receiving,LONG,43
3675229,Terrell Chatman,Virginia,ACC,receiving,YDS,104
4240838,Terrell Jana,Virginia,ACC,receiving,REC,74
3675229,Terrell Chatman,Virginia,ACC,receiving,TD,1
4370803,Grant Misch,Virginia,ACC,receiving,REC,1
3675229,Terrell Chatman,Virginia,ACC,receiving,YPR,14.9
4240838,Terrell Jana,Virginia,ACC,receiving,LONG,47
4240849,Charles Snowden,Virginia,ACC,receiving,YDS,24
4428850,Dontayvion Wicks,Virginia,ACC,receiving,YDS,61
4240823,Lamont Atkins,Virginia,ACC,receiving,LONG,34
4370797,Billy Kemp,Virginia,ACC,receiving,REC,35
4240842,Hayden Mitchell,Virginia,ACC,receiving,YDS,51
3912400,Dejon Brissett,Virginia,ACC,receiving,REC,2
4240823,Lamont Atkins,Virginia,ACC,receiving,TD,0
4428850,Dontayvion Wicks,Virginia,ACC,receiving,REC,3
4370813,Wayne Taulapapa,Virginia,ACC,receiving,TD,0
4037582,Hasise Dubois,Virginia,ACC,receiving,YDS,1062
4370796,Tavares Kelly,Virginia,ACC,receiving,YPR,10.9
4370803,Grant Misch,Virginia,ACC,receiving,YDS,6
4370803,Grant Misch,Virginia,ACC,receiving,TD,1
3675229,Terrell Chatman,Virginia,ACC,receiving,LONG,33
4037591,Joe Reed,Virginia,ACC,receiving,TD,7
4370813,Wayne Taulapapa,Virginia,ACC,receiving,REC,5
4240823,Lamont Atkins,Virginia,ACC,receiving,YDS,61
4240849,Charles Snowden,Virginia,ACC,receiving,YPR,24.0
3912400,Dejon Brissett,Virginia,ACC,receiving,TD,0
4037582,Hasise Dubois,Virginia,ACC,receiving,YPR,14.2
4370796,Tavares Kelly,Virginia,ACC,receiving,YDS,152
3917911,Chris Sharp,Virginia,ACC,receiving,YPR,5.3
3917916,Tanner Cowley,Virginia,ACC,receiving,YDS,311
3917911,Chris Sharp,Virginia,ACC,receiving,YDS,21
4370813,Wayne Taulapapa,Virginia,ACC,receiving,LONG,10
3912400,Dejon Brissett,Virginia,ACC,receiving,YDS,18
3917916,Tanner Cowley,Virginia,ACC,receiving,LONG,52
4240838,Terrell Jana,Virginia,ACC,receiving,TD,3
4370796,Tavares Kelly,Virginia,ACC,receiving,TD,1
4240823,Lamont Atkins,Virginia,ACC,receiving,REC,8
4240842,Hayden Mitchell,Virginia,ACC,receiving,YPR,17.0
4370797,Billy Kemp,Virginia,ACC,receiving,YDS,289
4428850,Dontayvion Wicks,Virginia,ACC,receiving,YPR,20.3
4370803,Grant Misch,Virginia,ACC,receiving,LONG,6
4240823,Lamont Atkins,Virginia,ACC,receiving,YPR,7.6
4370797,Billy Kemp,Virginia,ACC,receiving,YPR,8.3
4240842,Hayden Mitchell,Virginia,ACC,receiving,TD,0
3917916,Tanner Cowley,Virginia,ACC,receiving,REC,28
4037582,Hasise Dubois,Virginia,ACC,receiving,REC,75
4240849,Charles Snowden,Virginia,ACC,receiving,TD,0
4240849,Charles Snowden,Virginia,ACC,receiving,REC,1
4240849,Charles Snowden,Virginia,ACC,receiving,LONG,24
4370797,Billy Kemp,Virginia,ACC,receiving,LONG,25
3917911,Chris Sharp,Virginia,ACC,receiving,LONG,9
3917911,Chris Sharp,Virginia,ACC,receiving,REC,4
4370803,Grant Misch,Virginia,ACC,receiving,YPR,6.0
4428850,Dontayvion Wicks,Virginia,ACC,receiving,LONG,44
3917911,Chris Sharp,Virginia,ACC,receiving,TD,1
4240842,Hayden Mitchell,Virginia,ACC,receiving,REC,3
4370813,Wayne Taulapapa,Virginia,ACC,receiving,YDS,23
3675229,Terrell Chatman,Virginia,ACC,receiving,REC,7
4370796,Tavares Kelly,Virginia,ACC,receiving,REC,14
3912400,Dejon Brissett,Virginia,ACC,receiving,LONG,15
4370797,Billy Kemp,Virginia,ACC,receiving,TD,1
3917916,Tanner Cowley,Virginia,ACC,receiving,YPR,11.1
4037591,Joe Reed,Virginia,ACC,receiving,YPR,8.8
4037582,Hasise Dubois,Virginia,ACC,receiving,TD,6
4240842,Hayden Mitchell,Virginia,ACC,receiving,LONG,28
3912400,Dejon Brissett,Virginia,ACC,receiving,YPR,9.0
4370796,Tavares Kelly,Virginia,ACC,receiving,LONG,35
4428850,Dontayvion Wicks,Virginia,ACC,receiving,TD,1
4037591,Joe Reed,Virginia,ACC,receiving,YDS,679
4240838,Terrell Jana,Virginia,ACC,receiving,YDS,886
4037582,Hasise Dubois,Virginia,ACC,receiving,LONG,67
