playerId,player,team,conference,category,statType,stat
3884368,James Williams,Washington State,Pac-12,receiving,TD,1
4054025,I Johnson-Mack,Washington State,Pac-12,receiving,LONG,9
3882916,Alijah Lee,Washington State,Pac-12,receiving,YPR,0.0
3127269,Keith Harrington,Washington State,Pac-12,receiving,LONG,11
550647,Gerard Wicks,Washington State,Pac-12,receiving,LONG,21
3882916,Alijah Lee,Washington State,Pac-12,receiving,REC,1
550647,Gerard Wicks,Washington State,Pac-12,receiving,YDS,184
534884,Gabe Marks,Washington State,Pac-12,receiving,TD,13
3894903,CJ Dimry,Washington State,Pac-12,receiving,REC,12
3884368,James Williams,Washington State,Pac-12,receiving,YPR,7.1
546882,Robert Lewis,Washington State,Pac-12,receiving,YPR,11.9
4054085,Dezmon Patmon,Washington State,Pac-12,receiving,YDS,19
550624,River Cracraft,Washington State,Pac-12,receiving,YDS,701
3944775,Kainoa Wilson,Washington State,Pac-12,receiving,TD,0
3882916,Alijah Lee,Washington State,Pac-12,receiving,TD,0
3944775,Kainoa Wilson,Washington State,Pac-12,receiving,REC,1
550647,Gerard Wicks,Washington State,Pac-12,receiving,TD,1
3884173,Kyle Sweet,Washington State,Pac-12,receiving,YPR,13.2
3884173,Kyle Sweet,Washington State,Pac-12,receiving,LONG,50
4054085,Dezmon Patmon,Washington State,Pac-12,receiving,LONG,19
550624,River Cracraft,Washington State,Pac-12,receiving,REC,53
3127269,Keith Harrington,Washington State,Pac-12,receiving,YPR,10.0
552050,John Thompson,Washington State,Pac-12,receiving,LONG,18
552050,John Thompson,Washington State,Pac-12,receiving,YDS,195
552050,John Thompson,Washington State,Pac-12,receiving,TD,1
3927809,Tavares Martin Jr.,Washington State,Pac-12,receiving,TD,7
546882,Robert Lewis,Washington State,Pac-12,receiving,LONG,34
550637,Jamal Morrow,Washington State,Pac-12,receiving,YPR,10.2
3944775,Kainoa Wilson,Washington State,Pac-12,receiving,LONG,4
3894903,CJ Dimry,Washington State,Pac-12,receiving,YPR,11.8
3894903,CJ Dimry,Washington State,Pac-12,receiving,TD,0
3882916,Alijah Lee,Washington State,Pac-12,receiving,YDS,0
3927809,Tavares Martin Jr.,Washington State,Pac-12,receiving,LONG,50
3127269,Keith Harrington,Washington State,Pac-12,receiving,YDS,20
546882,Robert Lewis,Washington State,Pac-12,receiving,TD,3
550637,Jamal Morrow,Washington State,Pac-12,receiving,YDS,488
550637,Jamal Morrow,Washington State,Pac-12,receiving,TD,5
546882,Robert Lewis,Washington State,Pac-12,receiving,REC,33
3884173,Kyle Sweet,Washington State,Pac-12,receiving,YDS,357
534884,Gabe Marks,Washington State,Pac-12,receiving,LONG,53
3127269,Keith Harrington,Washington State,Pac-12,receiving,REC,2
4054085,Dezmon Patmon,Washington State,Pac-12,receiving,YPR,9.5
552050,John Thompson,Washington State,Pac-12,receiving,REC,23
4043087,Isaiah Johnson-Mack,Washington State,Pac-12,receiving,YPR,7.0
3944775,Kainoa Wilson,Washington State,Pac-12,receiving,YDS,4
534884,Gabe Marks,Washington State,Pac-12,receiving,YPR,10.0
550624,River Cracraft,Washington State,Pac-12,receiving,LONG,71
4054025,I Johnson-Mack,Washington State,Pac-12,receiving,YDS,16
3884173,Kyle Sweet,Washington State,Pac-12,receiving,TD,3
550637,Jamal Morrow,Washington State,Pac-12,receiving,LONG,66
550624,River Cracraft,Washington State,Pac-12,receiving,TD,5
4054025,I Johnson-Mack,Washington State,Pac-12,receiving,YPR,8.0
4054085,Dezmon Patmon,Washington State,Pac-12,receiving,TD,0
3894903,CJ Dimry,Washington State,Pac-12,receiving,YDS,141
3927809,Tavares Martin Jr.,Washington State,Pac-12,receiving,YPR,11.4
550624,River Cracraft,Washington State,Pac-12,receiving,YPR,13.2
3882916,Alijah Lee,Washington State,Pac-12,receiving,LONG,0
4043087,Isaiah Johnson-Mack,Washington State,Pac-12,receiving,REC,35
3944775,Kainoa Wilson,Washington State,Pac-12,receiving,YPR,4.0
3884368,James Williams,Washington State,Pac-12,receiving,LONG,29
4043087,Isaiah Johnson-Mack,Washington State,Pac-12,receiving,YDS,246
550647,Gerard Wicks,Washington State,Pac-12,receiving,YPR,6.3
3127269,Keith Harrington,Washington State,Pac-12,receiving,TD,0
550637,Jamal Morrow,Washington State,Pac-12,receiving,REC,48
552050,John Thompson,Washington State,Pac-12,receiving,YPR,8.5
3884368,James Williams,Washington State,Pac-12,receiving,REC,48
3927809,Tavares Martin Jr.,Washington State,Pac-12,receiving,YDS,728
4043087,Isaiah Johnson-Mack,Washington State,Pac-12,receiving,LONG,35
3927809,Tavares Martin Jr.,Washington State,Pac-12,receiving,REC,64
3884173,Kyle Sweet,Washington State,Pac-12,receiving,REC,27
4054025,I Johnson-Mack,Washington State,Pac-12,receiving,TD,0
546882,Robert Lewis,Washington State,Pac-12,receiving,YDS,394
3894903,CJ Dimry,Washington State,Pac-12,receiving,LONG,22
550647,Gerard Wicks,Washington State,Pac-12,receiving,REC,29
534884,Gabe Marks,Washington State,Pac-12,receiving,YDS,894
4043087,Isaiah Johnson-Mack,Washington State,Pac-12,receiving,TD,1
534884,Gabe Marks,Washington State,Pac-12,receiving,REC,89
3884368,James Williams,Washington State,Pac-12,receiving,YDS,342
4054085,Dezmon Patmon,Washington State,Pac-12,receiving,REC,2
4054025,I Johnson-Mack,Washington State,Pac-12,receiving,REC,2
