playerId,player,team,conference,category,statType,stat
3127310,Drew Sample,Washington,Pac-12,receiving,YDS,45
3127293,Jomon Dotson,Washington,Pac-12,receiving,REC,2
3080164,Connor Griffin,Washington,Pac-12,receiving,TD,0
550316,Lavon Coleman,Washington,Pac-12,receiving,REC,4
499791,Deontae Cooper,Washington,Pac-12,receiving,LONG,2
3127300,Brayden Lenius,Washington,Pac-12,receiving,LONG,30
513058,Joshua Perkins,Washington,Pac-12,receiving,TD,3
3886828,Isaiah Renfro,Washington,Pac-12,receiving,TD,0
513050,Marvin Hall,Washington,Pac-12,receiving,YDS,206
513050,Marvin Hall,Washington,Pac-12,receiving,LONG,78
3127293,Jomon Dotson,Washington,Pac-12,receiving,YPR,9.5
3080164,Connor Griffin,Washington,Pac-12,receiving,REC,1
3886818,Myles Gaskin,Washington,Pac-12,receiving,LONG,8
3127310,Drew Sample,Washington,Pac-12,receiving,TD,2
550316,Lavon Coleman,Washington,Pac-12,receiving,YPR,7.8
513058,Joshua Perkins,Washington,Pac-12,receiving,YPR,15.0
550319,Darrell Daniels,Washington,Pac-12,receiving,REC,19
542080,Dwayne Washington,Washington,Pac-12,receiving,YPR,12.6
3886828,Isaiah Renfro,Washington,Pac-12,receiving,YDS,178
3127293,Jomon Dotson,Washington,Pac-12,receiving,YDS,19
3127306,Dante Pettis,Washington,Pac-12,receiving,TD,1
499791,Deontae Cooper,Washington,Pac-12,receiving,TD,0
550319,Darrell Daniels,Washington,Pac-12,receiving,YPR,13.2
3886818,Myles Gaskin,Washington,Pac-12,receiving,REC,6
499791,Deontae Cooper,Washington,Pac-12,receiving,YDS,4
513058,Joshua Perkins,Washington,Pac-12,receiving,LONG,53
3886818,Myles Gaskin,Washington,Pac-12,receiving,TD,0
542080,Dwayne Washington,Washington,Pac-12,receiving,YDS,315
513058,Joshua Perkins,Washington,Pac-12,receiving,REC,36
3127306,Dante Pettis,Washington,Pac-12,receiving,YDS,414
550316,Lavon Coleman,Washington,Pac-12,receiving,YDS,31
513058,Joshua Perkins,Washington,Pac-12,receiving,YDS,539
3886822,Chico McClatcher,Washington,Pac-12,receiving,YDS,78
3127300,Brayden Lenius,Washington,Pac-12,receiving,REC,26
3886812,Jake Browning,Washington,Pac-12,receiving,YDS,4
3886818,Myles Gaskin,Washington,Pac-12,receiving,YPR,3.2
550319,Darrell Daniels,Washington,Pac-12,receiving,YDS,250
3127300,Brayden Lenius,Washington,Pac-12,receiving,YDS,307
3127306,Dante Pettis,Washington,Pac-12,receiving,REC,30
513050,Marvin Hall,Washington,Pac-12,receiving,TD,1
3886822,Chico McClatcher,Washington,Pac-12,receiving,YPR,9.8
499791,Deontae Cooper,Washington,Pac-12,receiving,REC,2
550319,Darrell Daniels,Washington,Pac-12,receiving,TD,1
513050,Marvin Hall,Washington,Pac-12,receiving,YPR,22.9
550316,Lavon Coleman,Washington,Pac-12,receiving,LONG,16
3127293,Jomon Dotson,Washington,Pac-12,receiving,TD,0
3127310,Drew Sample,Washington,Pac-12,receiving,LONG,23
3886828,Isaiah Renfro,Washington,Pac-12,receiving,REC,13
3127293,Jomon Dotson,Washington,Pac-12,receiving,LONG,15
3886822,Chico McClatcher,Washington,Pac-12,receiving,TD,1
3127310,Drew Sample,Washington,Pac-12,receiving,REC,5
3886812,Jake Browning,Washington,Pac-12,receiving,REC,1
3127310,Drew Sample,Washington,Pac-12,receiving,YPR,9.0
513050,Marvin Hall,Washington,Pac-12,receiving,REC,9
535324,Jaydon Mickens,Washington,Pac-12,receiving,YDS,692
3886828,Isaiah Renfro,Washington,Pac-12,receiving,LONG,43
535324,Jaydon Mickens,Washington,Pac-12,receiving,REC,58
550319,Darrell Daniels,Washington,Pac-12,receiving,LONG,29
3080164,Connor Griffin,Washington,Pac-12,receiving,YPR,9.0
542080,Dwayne Washington,Washington,Pac-12,receiving,LONG,81
3127306,Dante Pettis,Washington,Pac-12,receiving,LONG,33
3127306,Dante Pettis,Washington,Pac-12,receiving,YPR,13.8
499791,Deontae Cooper,Washington,Pac-12,receiving,YPR,2.0
3886812,Jake Browning,Washington,Pac-12,receiving,LONG,4
535324,Jaydon Mickens,Washington,Pac-12,receiving,YPR,11.9
535324,Jaydon Mickens,Washington,Pac-12,receiving,LONG,43
3886812,Jake Browning,Washington,Pac-12,receiving,YPR,4.0
3127300,Brayden Lenius,Washington,Pac-12,receiving,TD,3
542080,Dwayne Washington,Washington,Pac-12,receiving,TD,3
3080164,Connor Griffin,Washington,Pac-12,receiving,YDS,9
550316,Lavon Coleman,Washington,Pac-12,receiving,TD,0
3886818,Myles Gaskin,Washington,Pac-12,receiving,YDS,19
3080164,Connor Griffin,Washington,Pac-12,receiving,LONG,9
542080,Dwayne Washington,Washington,Pac-12,receiving,REC,25
3127300,Brayden Lenius,Washington,Pac-12,receiving,YPR,11.8
3886822,Chico McClatcher,Washington,Pac-12,receiving,LONG,49
535324,Jaydon Mickens,Washington,Pac-12,receiving,TD,2
3886828,Isaiah Renfro,Washington,Pac-12,receiving,YPR,13.7
3886822,Chico McClatcher,Washington,Pac-12,receiving,REC,8
3886812,Jake Browning,Washington,Pac-12,receiving,TD,0
