playerId,player,team,conference,category,statType,stat
4037568,Gaej Walker,Western Kentucky,Conference USA,receiving,REC,9
4243470,Steven Witchoskey,Western Kentucky,Conference USA,receiving,YDS,6
4430482,Joshua Simon,Western Kentucky,Conference USA,receiving,LONG,40
4037568,Gaej Walker,Western Kentucky,Conference USA,receiving,LONG,17
4243470,Steven Witchoskey,Western Kentucky,Conference USA,receiving,LONG,6
4432631,Noah Whittington,Western Kentucky,Conference USA,receiving,REC,3
4613104,Malachi Corley,Western Kentucky,Conference USA,receiving,LONG,17
4430482,Joshua Simon,Western Kentucky,Conference USA,receiving,REC,33
4428763,Dayton Wade,Western Kentucky,Conference USA,receiving,TD,0
4037568,Gaej Walker,Western Kentucky,Conference USA,receiving,YDS,87
4243459,Jakairi Moses,Western Kentucky,Conference USA,receiving,YDS,38
4037560,Xavier Lane,Western Kentucky,Conference USA,receiving,TD,1
4428527,Dalvin Smith,Western Kentucky,Conference USA,receiving,TD,2
4363062,Garland LaFrance,Western Kentucky,Conference USA,receiving,TD,0
4243459,Jakairi Moses,Western Kentucky,Conference USA,receiving,YPR,4.2
4690070,Mitchell Tinsley,Western Kentucky,Conference USA,receiving,YDS,377
4243470,Steven Witchoskey,Western Kentucky,Conference USA,receiving,TD,0
4570667,Terez Traynor,Western Kentucky,Conference USA,receiving,YDS,36
4363062,Garland LaFrance,Western Kentucky,Conference USA,receiving,REC,1
4037564,Jahcour Pearson,Western Kentucky,Conference USA,receiving,TD,0
4037564,Jahcour Pearson,Western Kentucky,Conference USA,receiving,REC,9
4570667,Terez Traynor,Western Kentucky,Conference USA,receiving,REC,4
4430903,Dakota Thomas,Western Kentucky,Conference USA,receiving,REC,8
4430482,Joshua Simon,Western Kentucky,Conference USA,receiving,TD,3
4613104,Malachi Corley,Western Kentucky,Conference USA,receiving,TD,0
4363062,Garland LaFrance,Western Kentucky,Conference USA,receiving,YPR,8.0
4432631,Noah Whittington,Western Kentucky,Conference USA,receiving,TD,0
4037560,Xavier Lane,Western Kentucky,Conference USA,receiving,YPR,11.1
4428763,Dayton Wade,Western Kentucky,Conference USA,receiving,YPR,8.6
4570667,Terez Traynor,Western Kentucky,Conference USA,receiving,LONG,16
4690070,Mitchell Tinsley,Western Kentucky,Conference USA,receiving,LONG,38
4430903,Dakota Thomas,Western Kentucky,Conference USA,receiving,LONG,37
4037568,Gaej Walker,Western Kentucky,Conference USA,receiving,YPR,9.7
4432631,Noah Whittington,Western Kentucky,Conference USA,receiving,LONG,7
4570667,Terez Traynor,Western Kentucky,Conference USA,receiving,YPR,9.0
4428763,Dayton Wade,Western Kentucky,Conference USA,receiving,LONG,19
4037564,Jahcour Pearson,Western Kentucky,Conference USA,receiving,YDS,96
4243459,Jakairi Moses,Western Kentucky,Conference USA,receiving,TD,0
4430903,Dakota Thomas,Western Kentucky,Conference USA,receiving,YDS,104
4243459,Jakairi Moses,Western Kentucky,Conference USA,receiving,REC,9
4428763,Dayton Wade,Western Kentucky,Conference USA,receiving,YDS,180
4690070,Mitchell Tinsley,Western Kentucky,Conference USA,receiving,TD,4
4037564,Jahcour Pearson,Western Kentucky,Conference USA,receiving,LONG,50
4613104,Malachi Corley,Western Kentucky,Conference USA,receiving,YDS,65
4037564,Jahcour Pearson,Western Kentucky,Conference USA,receiving,YPR,10.7
4037560,Xavier Lane,Western Kentucky,Conference USA,receiving,REC,34
4432631,Noah Whittington,Western Kentucky,Conference USA,receiving,YPR,1.7
4037560,Xavier Lane,Western Kentucky,Conference USA,receiving,LONG,51
4428527,Dalvin Smith,Western Kentucky,Conference USA,receiving,YDS,58
4243470,Steven Witchoskey,Western Kentucky,Conference USA,receiving,REC,1
4690073,Craig Burt Jr.,Western Kentucky,Conference USA,receiving,YPR,7.7
4363062,Garland LaFrance,Western Kentucky,Conference USA,receiving,YDS,8
4690073,Craig Burt Jr.,Western Kentucky,Conference USA,receiving,YDS,178
4690070,Mitchell Tinsley,Western Kentucky,Conference USA,receiving,REC,43
4037568,Gaej Walker,Western Kentucky,Conference USA,receiving,TD,0
4570667,Terez Traynor,Western Kentucky,Conference USA,receiving,TD,0
4428527,Dalvin Smith,Western Kentucky,Conference USA,receiving,LONG,26
4430903,Dakota Thomas,Western Kentucky,Conference USA,receiving,YPR,13.0
4690073,Craig Burt Jr.,Western Kentucky,Conference USA,receiving,LONG,36
4613104,Malachi Corley,Western Kentucky,Conference USA,receiving,YPR,10.8
4690073,Craig Burt Jr.,Western Kentucky,Conference USA,receiving,REC,23
4363062,Garland LaFrance,Western Kentucky,Conference USA,receiving,LONG,8
4037560,Xavier Lane,Western Kentucky,Conference USA,receiving,YDS,376
4690070,Mitchell Tinsley,Western Kentucky,Conference USA,receiving,YPR,8.8
4430482,Joshua Simon,Western Kentucky,Conference USA,receiving,YPR,11.2
4243470,Steven Witchoskey,Western Kentucky,Conference USA,receiving,YPR,6.0
4243459,Jakairi Moses,Western Kentucky,Conference USA,receiving,LONG,9
4690073,Craig Burt Jr.,Western Kentucky,Conference USA,receiving,TD,2
4430903,Dakota Thomas,Western Kentucky,Conference USA,receiving,TD,0
4430482,Joshua Simon,Western Kentucky,Conference USA,receiving,YDS,370
4432631,Noah Whittington,Western Kentucky,Conference USA,receiving,YDS,5
4428527,Dalvin Smith,Western Kentucky,Conference USA,receiving,YPR,14.5
4428763,Dayton Wade,Western Kentucky,Conference USA,receiving,REC,21
4428527,Dalvin Smith,Western Kentucky,Conference USA,receiving,REC,4
4613104,Malachi Corley,Western Kentucky,Conference USA,receiving,REC,6
