playerId,player,team,conference,category,statType,stat
3129453,Jarvion Franklin,Western Michigan,Mid-American,receiving,REC,25
3129448,Carrington Thompson,Western Michigan,Mid-American,receiving,YDS,637
4043016,D'Wayne Eskridge,Western Michigan,Mid-American,receiving,YDS,121
3129448,Carrington Thompson,Western Michigan,Mid-American,receiving,LONG,51
3916721,LeVante Bellamy,Western Michigan,Mid-American,receiving,YDS,4
3916748,Keishawn Watson,Western Michigan,Mid-American,receiving,LONG,16
3129455,Donnie Ernsberger,Western Michigan,Mid-American,receiving,LONG,38
3916748,Keishawn Watson,Western Michigan,Mid-American,receiving,REC,2
3129453,Jarvion Franklin,Western Michigan,Mid-American,receiving,YPR,11.5
4043016,D'Wayne Eskridge,Western Michigan,Mid-American,receiving,REC,17
532662,Michael Henry,Western Michigan,Mid-American,receiving,YPR,12.4
4043016,D'Wayne Eskridge,Western Michigan,Mid-American,receiving,LONG,14
3916721,LeVante Bellamy,Western Michigan,Mid-American,receiving,TD,0
3129448,Carrington Thompson,Western Michigan,Mid-American,receiving,TD,6
3916721,LeVante Bellamy,Western Michigan,Mid-American,receiving,YPR,4.0
532662,Michael Henry,Western Michigan,Mid-American,receiving,LONG,65
3129453,Jarvion Franklin,Western Michigan,Mid-American,receiving,TD,2
3129454,Jamauri Bogan,Western Michigan,Mid-American,receiving,TD,0
3916748,Keishawn Watson,Western Michigan,Mid-American,receiving,YPR,12.0
545923,Corey Davis,Western Michigan,Mid-American,receiving,LONG,70
3129454,Jamauri Bogan,Western Michigan,Mid-American,receiving,LONG,24
3129455,Donnie Ernsberger,Western Michigan,Mid-American,receiving,YDS,112
545923,Corey Davis,Western Michigan,Mid-American,receiving,TD,19
3129455,Donnie Ernsberger,Western Michigan,Mid-American,receiving,YPR,12.4
3129454,Jamauri Bogan,Western Michigan,Mid-American,receiving,REC,5
545927,Fabian Johnson,Western Michigan,Mid-American,receiving,YPR,5.0
3129454,Jamauri Bogan,Western Michigan,Mid-American,receiving,YDS,58
4043016,D'Wayne Eskridge,Western Michigan,Mid-American,receiving,TD,1
3916721,LeVante Bellamy,Western Michigan,Mid-American,receiving,REC,1
3129448,Carrington Thompson,Western Michigan,Mid-American,receiving,YPR,15.2
545923,Corey Davis,Western Michigan,Mid-American,receiving,YDS,1500
3129453,Jarvion Franklin,Western Michigan,Mid-American,receiving,LONG,39
532662,Michael Henry,Western Michigan,Mid-American,receiving,YDS,779
3916721,LeVante Bellamy,Western Michigan,Mid-American,receiving,LONG,4
3916748,Keishawn Watson,Western Michigan,Mid-American,receiving,TD,0
545927,Fabian Johnson,Western Michigan,Mid-American,receiving,TD,0
545927,Fabian Johnson,Western Michigan,Mid-American,receiving,REC,2
4043016,D'Wayne Eskridge,Western Michigan,Mid-American,receiving,YPR,7.1
3129448,Carrington Thompson,Western Michigan,Mid-American,receiving,REC,42
545923,Corey Davis,Western Michigan,Mid-American,receiving,REC,97
545923,Corey Davis,Western Michigan,Mid-American,receiving,YPR,15.5
3129455,Donnie Ernsberger,Western Michigan,Mid-American,receiving,TD,1
532662,Michael Henry,Western Michigan,Mid-American,receiving,TD,4
3129455,Donnie Ernsberger,Western Michigan,Mid-American,receiving,REC,9
545927,Fabian Johnson,Western Michigan,Mid-American,receiving,LONG,7
3129454,Jamauri Bogan,Western Michigan,Mid-American,receiving,YPR,11.6
3916748,Keishawn Watson,Western Michigan,Mid-American,receiving,YDS,24
545927,Fabian Johnson,Western Michigan,Mid-American,receiving,YDS,10
3129453,Jarvion Franklin,Western Michigan,Mid-American,receiving,YDS,288
532662,Michael Henry,Western Michigan,Mid-American,receiving,REC,63
