playerId,player,team,conference,category,statType,stat
4035793,Quintez Cephus,Wisconsin,Big Ten,receiving,LONG,57
546867,Robert Wheelwright,Wisconsin,Big Ten,receiving,YDS,448
537577,Dare Ogunbowale,Wisconsin,Big Ten,receiving,REC,24
546849,Troy Fumagalli,Wisconsin,Big Ten,receiving,REC,47
3917668,Alec Ingold,Wisconsin,Big Ten,receiving,REC,6
546867,Robert Wheelwright,Wisconsin,Big Ten,receiving,REC,34
546867,Robert Wheelwright,Wisconsin,Big Ten,receiving,YPR,13.2
546849,Troy Fumagalli,Wisconsin,Big Ten,receiving,LONG,30
537577,Dare Ogunbowale,Wisconsin,Big Ten,receiving,YDS,208
537577,Dare Ogunbowale,Wisconsin,Big Ten,receiving,TD,1
3886611,Kyle Penniston,Wisconsin,Big Ten,receiving,TD,2
3917680,Bradrick Shaw,Wisconsin,Big Ten,receiving,TD,0
546845,Corey Clement,Wisconsin,Big Ten,receiving,REC,12
3121560,George Rushing,Wisconsin,Big Ten,receiving,REC,12
3917668,Alec Ingold,Wisconsin,Big Ten,receiving,LONG,19
3917668,Alec Ingold,Wisconsin,Big Ten,receiving,YPR,9.2
4035793,Quintez Cephus,Wisconsin,Big Ten,receiving,TD,0
3886611,Kyle Penniston,Wisconsin,Big Ten,receiving,YDS,102
3917668,Alec Ingold,Wisconsin,Big Ten,receiving,TD,2
4035792,A.J. Taylor,Wisconsin,Big Ten,receiving,REC,3
550839,Austin Ramesh,Wisconsin,Big Ten,receiving,REC,3
3917680,Bradrick Shaw,Wisconsin,Big Ten,receiving,LONG,6
3886611,Kyle Penniston,Wisconsin,Big Ten,receiving,YPR,17.0
3121560,George Rushing,Wisconsin,Big Ten,receiving,LONG,19
4035792,A.J. Taylor,Wisconsin,Big Ten,receiving,TD,0
3121560,George Rushing,Wisconsin,Big Ten,receiving,YPR,11.3
3121560,George Rushing,Wisconsin,Big Ten,receiving,TD,0
537577,Dare Ogunbowale,Wisconsin,Big Ten,receiving,YPR,8.7
546860,Jazz Peavy,Wisconsin,Big Ten,receiving,LONG,36
3886611,Kyle Penniston,Wisconsin,Big Ten,receiving,REC,6
537577,Dare Ogunbowale,Wisconsin,Big Ten,receiving,LONG,34
534829,Eric Steffes,Wisconsin,Big Ten,receiving,YDS,34
546849,Troy Fumagalli,Wisconsin,Big Ten,receiving,TD,2
3886611,Kyle Penniston,Wisconsin,Big Ten,receiving,LONG,54
546845,Corey Clement,Wisconsin,Big Ten,receiving,TD,0
546867,Robert Wheelwright,Wisconsin,Big Ten,receiving,LONG,47
546849,Troy Fumagalli,Wisconsin,Big Ten,receiving,YPR,12.3
550839,Austin Ramesh,Wisconsin,Big Ten,receiving,LONG,14
3917680,Bradrick Shaw,Wisconsin,Big Ten,receiving,YDS,6
550839,Austin Ramesh,Wisconsin,Big Ten,receiving,TD,0
4035793,Quintez Cephus,Wisconsin,Big Ten,receiving,YPR,23.5
546860,Jazz Peavy,Wisconsin,Big Ten,receiving,REC,43
546860,Jazz Peavy,Wisconsin,Big Ten,receiving,YDS,635
4035792,A.J. Taylor,Wisconsin,Big Ten,receiving,LONG,35
546860,Jazz Peavy,Wisconsin,Big Ten,receiving,TD,5
546849,Troy Fumagalli,Wisconsin,Big Ten,receiving,YDS,580
534829,Eric Steffes,Wisconsin,Big Ten,receiving,TD,1
3917680,Bradrick Shaw,Wisconsin,Big Ten,receiving,YPR,6.0
534829,Eric Steffes,Wisconsin,Big Ten,receiving,REC,7
546845,Corey Clement,Wisconsin,Big Ten,receiving,YPR,11.0
534829,Eric Steffes,Wisconsin,Big Ten,receiving,LONG,14
4035792,A.J. Taylor,Wisconsin,Big Ten,receiving,YDS,53
4035792,A.J. Taylor,Wisconsin,Big Ten,receiving,YPR,17.7
550839,Austin Ramesh,Wisconsin,Big Ten,receiving,YPR,8.0
3917668,Alec Ingold,Wisconsin,Big Ten,receiving,YDS,55
546867,Robert Wheelwright,Wisconsin,Big Ten,receiving,TD,1
4035793,Quintez Cephus,Wisconsin,Big Ten,receiving,YDS,94
3917680,Bradrick Shaw,Wisconsin,Big Ten,receiving,REC,1
546860,Jazz Peavy,Wisconsin,Big Ten,receiving,YPR,14.8
4035793,Quintez Cephus,Wisconsin,Big Ten,receiving,REC,4
550839,Austin Ramesh,Wisconsin,Big Ten,receiving,YDS,24
3121560,George Rushing,Wisconsin,Big Ten,receiving,YDS,136
546845,Corey Clement,Wisconsin,Big Ten,receiving,LONG,26
534829,Eric Steffes,Wisconsin,Big Ten,receiving,YPR,4.9
546845,Corey Clement,Wisconsin,Big Ten,receiving,YDS,132
