playerId,player,team,conference,category,statType,stat
546491,Tanner Gentry,Wyoming,Mountain West,receiving,TD,14
3918318,C.J. Johnson,Wyoming,Mountain West,receiving,YDS,304
3125401,Nico Evans,Wyoming,Mountain West,receiving,YDS,13
4036754,Austin Conway,Wyoming,Mountain West,receiving,REC,11
552726,Drew Van Maanen,Wyoming,Mountain West,receiving,LONG,22
3918312,Josh Harshman,Wyoming,Mountain West,receiving,TD,0
3918324,James Price,Wyoming,Mountain West,receiving,YDS,75
3125414,Tyree Mayfield,Wyoming,Mountain West,receiving,YDS,33
534240,Shaun Wick,Wyoming,Mountain West,receiving,YDS,32
3125414,Tyree Mayfield,Wyoming,Mountain West,receiving,TD,0
3125403,Brian Hill,Wyoming,Mountain West,receiving,REC,8
3125401,Nico Evans,Wyoming,Mountain West,receiving,TD,0
536854,Jake Maulhardt,Wyoming,Mountain West,receiving,TD,4
534240,Shaun Wick,Wyoming,Mountain West,receiving,REC,4
3918323,Joseph Parker,Wyoming,Mountain West,receiving,YDS,13
534240,Shaun Wick,Wyoming,Mountain West,receiving,TD,0
3918318,C.J. Johnson,Wyoming,Mountain West,receiving,LONG,43
3918323,Joseph Parker,Wyoming,Mountain West,receiving,LONG,14
3918318,C.J. Johnson,Wyoming,Mountain West,receiving,REC,21
3918298,Josh Allen,Wyoming,Mountain West,receiving,YDS,4
3918312,Josh Harshman,Wyoming,Mountain West,receiving,LONG,22
536854,Jake Maulhardt,Wyoming,Mountain West,receiving,LONG,45
3918298,Josh Allen,Wyoming,Mountain West,receiving,REC,1
3125403,Brian Hill,Wyoming,Mountain West,receiving,TD,0
546491,Tanner Gentry,Wyoming,Mountain West,receiving,YPR,18.4
3125404,Jacob Hollister,Wyoming,Mountain West,receiving,TD,7
552726,Drew Van Maanen,Wyoming,Mountain West,receiving,REC,3
536854,Jake Maulhardt,Wyoming,Mountain West,receiving,REC,39
3918324,James Price,Wyoming,Mountain West,receiving,YPR,12.5
3918312,Josh Harshman,Wyoming,Mountain West,receiving,REC,5
552726,Drew Van Maanen,Wyoming,Mountain West,receiving,TD,0
3125403,Brian Hill,Wyoming,Mountain West,receiving,YDS,67
4036754,Austin Conway,Wyoming,Mountain West,receiving,YPR,9.4
3125404,Jacob Hollister,Wyoming,Mountain West,receiving,REC,32
3918298,Josh Allen,Wyoming,Mountain West,receiving,YPR,4.0
3125401,Nico Evans,Wyoming,Mountain West,receiving,YPR,13.0
3918323,Joseph Parker,Wyoming,Mountain West,receiving,YPR,6.5
534240,Shaun Wick,Wyoming,Mountain West,receiving,LONG,20
3125414,Tyree Mayfield,Wyoming,Mountain West,receiving,LONG,15
4036754,Austin Conway,Wyoming,Mountain West,receiving,YDS,103
3918298,Josh Allen,Wyoming,Mountain West,receiving,TD,1
546491,Tanner Gentry,Wyoming,Mountain West,receiving,YDS,1326
546491,Tanner Gentry,Wyoming,Mountain West,receiving,LONG,54
3125404,Jacob Hollister,Wyoming,Mountain West,receiving,LONG,37
3918323,Joseph Parker,Wyoming,Mountain West,receiving,REC,2
3139367,Jordan Ellis,Wyoming,Mountain West,receiving,YPR,12.5
3918298,Josh Allen,Wyoming,Mountain West,receiving,LONG,4
3918323,Joseph Parker,Wyoming,Mountain West,receiving,TD,0
3125401,Nico Evans,Wyoming,Mountain West,receiving,REC,1
3125414,Tyree Mayfield,Wyoming,Mountain West,receiving,YPR,11.0
3918324,James Price,Wyoming,Mountain West,receiving,REC,6
3139367,Jordan Ellis,Wyoming,Mountain West,receiving,REC,2
4036754,Austin Conway,Wyoming,Mountain West,receiving,TD,0
3125403,Brian Hill,Wyoming,Mountain West,receiving,YPR,8.4
3125401,Nico Evans,Wyoming,Mountain West,receiving,LONG,13
3125404,Jacob Hollister,Wyoming,Mountain West,receiving,YDS,515
3125404,Jacob Hollister,Wyoming,Mountain West,receiving,YPR,16.1
3918324,James Price,Wyoming,Mountain West,receiving,TD,0
3125414,Tyree Mayfield,Wyoming,Mountain West,receiving,REC,3
552726,Drew Van Maanen,Wyoming,Mountain West,receiving,YDS,33
4036754,Austin Conway,Wyoming,Mountain West,receiving,LONG,24
536854,Jake Maulhardt,Wyoming,Mountain West,receiving,YPR,15.7
3125403,Brian Hill,Wyoming,Mountain West,receiving,LONG,19
3918318,C.J. Johnson,Wyoming,Mountain West,receiving,YPR,14.5
3918312,Josh Harshman,Wyoming,Mountain West,receiving,YPR,10.0
3139367,Jordan Ellis,Wyoming,Mountain West,receiving,LONG,15
534240,Shaun Wick,Wyoming,Mountain West,receiving,YPR,8.0
3918318,C.J. Johnson,Wyoming,Mountain West,receiving,TD,3
3918312,Josh Harshman,Wyoming,Mountain West,receiving,YDS,50
3139367,Jordan Ellis,Wyoming,Mountain West,receiving,TD,0
536854,Jake Maulhardt,Wyoming,Mountain West,receiving,YDS,614
3918324,James Price,Wyoming,Mountain West,receiving,LONG,23
552726,Drew Van Maanen,Wyoming,Mountain West,receiving,YPR,11.0
3139367,Jordan Ellis,Wyoming,Mountain West,receiving,YDS,25
546491,Tanner Gentry,Wyoming,Mountain West,receiving,REC,72
