collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade,hometownInfo
3126356,51719,333,Alabama,SEC,Baltimore,2017,16,1,16,Marlon Humphrey,Cornerback,72,197,23,3,89,"{'city': 'Hoover', 'state': 'AL', 'country': 'USA', 'latitude': '33.3848933', 'longitude': '-86.8070484', 'countyFips': '01073'}"
551288,51744,333,Alabama,SEC,Washington,2017,17,1,17,Jonathan Allen,Defensive Tackle,75,286,5,2,93,"{'city': 'Leesburg', 'state': 'VA', 'country': 'USA', 'latitude': '39.1154496', 'longitude': '-77.5645446', 'countyFips': '51107'}"
546370,51578,333,Alabama,SEC,Tampa Bay,2017,19,1,19,O.J. Howard,Tight End,78,251,7,1,92,"{'city': 'Prattville', 'state': 'AL', 'country': 'USA', 'latitude': '32.4640245', 'longitude': '-86.4596966', 'countyFips': '01001'}"
551292,51554,333,Alabama,SEC,San Francisco,2017,31,1,31,Reuben Foster,Inside Linebacker,72,229,8,1,92,"{'city': 'Auburn', 'state': 'AL', 'country': 'USA', 'latitude': '32.6550905', 'longitude': '-85.50364346309962', 'countyFips': '01081'}"
-1000867,51562,333,Alabama,SEC,Jacksonville,2017,34,2,2,Cam Robinson,Offensive Tackle,78,322,19,1,90,"{'city': 'Monroe', 'state': 'LA', 'country': 'USA', 'latitude': '32.5093109', 'longitude': '-92.1193012', 'countyFips': '22073'}"
534454,51557,333,Alabama,SEC,Washington,2017,49,2,17,Ryan Anderson,Outside Linebacker,74,253,55,4,81,"{'city': 'Daphne', 'state': 'AL', 'country': 'USA', 'latitude': '30.6035255', 'longitude': '-87.9036047', 'countyFips': '01003'}"
535761,51547,333,Alabama,SEC,New York,2017,55,2,23,Dalvin Tomlinson,Defensive Tackle,75,310,75,6,76,"{'city': 'McDonaugh', 'state': 'GA', 'country': 'USA', 'latitude': None, 'longitude': None, 'countyFips': None}"
551309,51639,333,Alabama,SEC,Baltimore,2017,78,3,14,Tim Williams,Outside Linebacker,75,244,60,5,80,"{'city': 'Baton Rouge', 'state': 'LA', 'country': 'USA', 'latitude': '30.4459596', 'longitude': '-91.18738', 'countyFips': '22033'}"
551307,101496,333,Alabama,SEC,New York,2017,79,3,15,ArDarius Stewart,Wide Receiver,71,204,87,9,74,"{'city': 'Fultondale', 'state': 'AL', 'country': 'USA', 'latitude': '33.631438', 'longitude': '-86.78332454213484', 'countyFips': '01073'}"
551295,51545,333,Alabama,SEC,Chicago,2017,112,4,5,Eddie Jackson,Safety,72,201,145,13,62,"{'city': 'Lauderdale Lakes', 'state': 'FL', 'country': 'USA', 'latitude': '26.1667184', 'longitude': '-80.2085565', 'countyFips': '12011'}"
