collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade,hometownInfo
530308,46810,52,Florida State,ACC,Tampa Bay,2015,1,1,1,Jameis Winston,Quarterback,76,231,1,1,97,"{'city': 'Bessemer', 'state': 'AL', 'country': 'USA', 'latitude': '33.3823635', 'longitude': '-86.91720475', 'countyFips': '01073'}"
-1010963,46825,52,Florida State,ACC,Cleveland,2015,19,1,19,Cameron Erving,Center,78,313,16,1,90,"{'city': 'Moultrie', 'state': 'GA', 'country': 'USA', 'latitude': '31.179998', 'longitude': '-83.7887928', 'countyFips': '13071'}"
530290,46857,52,Florida State,ACC,Las Vegas,2015,35,2,3,Mario Edwards Jr.,Defensive End,75,279,48,5,84,"{'city': None, 'state': None, 'country': None, 'latitude': None, 'longitude': None, 'countyFips': None}"
-1010966,46835,52,Florida State,ACC,Chicago,2015,39,2,7,Eddie Goldman,Defensive Tackle,76,336,26,3,89,"{'city': 'Washington', 'state': 'DC', 'country': 'USA', 'latitude': '38.8949855', 'longitude': '-77.0365708', 'countyFips': '11001'}"
530289,46869,52,Florida State,ACC,Buffalo,2015,50,2,18,Ronald Darby,Cornerback,71,193,60,8,80,"{'city': 'Oxon Hill', 'state': 'MD', 'country': 'USA', 'latitude': '38.8035961', 'longitude': '-76.9896573', 'countyFips': '24033'}"
534576,46867,52,Florida State,ACC,New Orleans,2015,78,3,14,P.J. Williams,Cornerback,72,194,58,7,81,"{'city': 'Ocala', 'state': 'FL', 'country': 'USA', 'latitude': '29.1871986', 'longitude': '-82.1400923', 'countyFips': '12083'}"
2576792,46889,52,Florida State,ACC,New England,2015,111,4,12,Tre Jackson,Offensive Guard,76,330,80,3,73,"{'city': None, 'state': None, 'country': None, 'latitude': None, 'longitude': None, 'countyFips': None}"
-1010967,46882,52,Florida State,ACC,Jacksonville,2015,139,5,3,Rashad Greene,Wide Receiver,71,182,73,13,77,"{'city': 'Albany', 'state': 'GA', 'country': 'USA', 'latitude': '31.5782062', 'longitude': '-84.1556809', 'countyFips': '13095'}"
517390,47014,52,Florida State,ACC,Buffalo,2015,155,5,19,Karlos Williams,Running Back,73,230,205,17,47,"{'city': 'Davenport', 'state': 'FL', 'country': 'USA', 'latitude': '28.1614046', 'longitude': '-81.6017417', 'countyFips': '12105'}"
517377,46952,52,Florida State,ACC,Buffalo,2015,194,6,18,Nick O'Leary,Tight End,75,252,143,6,59,"{'city': 'Palm Beach', 'state': 'FL', 'country': 'USA', 'latitude': '26.7056172', 'longitude': '-80.0361517', 'countyFips': '12099'}"
-1010968,47075,52,Florida State,ACC,New York,2015,226,7,9,Bobby Hart,Offensive Tackle,77,329,266,23,38,"{'city': 'Lauderhill', 'state': 'FL', 'country': 'USA', 'latitude': '26.1567308', 'longitude': '-80.22506769232564', 'countyFips': '12011'}"
