collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade,hometownInfo
4685759,106306,61,Georgia,SEC,Philadelphia,2023,9,1,9,Jalen Carter,Defensive Tackle,75,314,6,1,93,"{'city': 'Apopka', 'state': 'FL', 'country': 'USA', 'latitude': '28.6779683', 'longitude': '-81.5115214', 'countyFips': '12095'}"
4428990,106402,61,Georgia,SEC,Pittsburgh,2023,14,1,14,Broderick Jones,Offensive Tackle,77,311,13,3,91,"{'city': 'Lithonia', 'state': 'GA', 'country': 'USA', 'latitude': '33.7123305', 'longitude': '-84.1051939', 'countyFips': '13089'}"
4426331,106309,61,Georgia,SEC,Philadelphia,2023,30,1,31,Nolan Smith,Outside Linebacker,74,238,16,2,90,"{'city': 'Savannah', 'state': 'GA', 'country': 'USA', 'latitude': '32.0809263', 'longitude': '-81.0911768', 'countyFips': '13051'}"
4430802,106366,61,Georgia,SEC,Pittsburgh,2023,93,3,30,Darnell Washington,Tight End,79,264,39,4,85,"{'city': 'Las Vegas', 'state': 'NV', 'country': 'USA', 'latitude': '36.1672559', 'longitude': '-115.1485163', 'countyFips': '32003'}"
4428992,106316,61,Georgia,SEC,Philadelphia,2023,105,4,3,Kelee Ringo,Cornerback,74,207,50,8,82,"{'city': 'Tacoma', 'state': 'WA', 'country': 'USA', 'latitude': '47.2495798', 'longitude': '-122.4398746', 'countyFips': '53053'}"
4259553,106749,61,Georgia,SEC,Los Angeles,2023,128,4,26,Stetson Bennett,Quarterback,71,192,237,12,43,"{'city': 'Blackshear', 'state': 'GA', 'country': 'USA', 'latitude': '31.3060513', 'longitude': '-82.2420661', 'countyFips': '13229'}"
4379413,105957,61,Georgia,SEC,Las Vegas,2023,170,5,36,Christopher Smith,Safety,71,192,146,9,59,"{'city': 'Atlanta', 'state': 'GA', 'country': 'USA', 'latitude': '33.7490987', 'longitude': '-84.3901849', 'countyFips': '13121'}"
4259558,106898,61,Georgia,SEC,San Francisco,2023,173,5,39,Robert Beal Jr.,Defensive End,76,247,214,22,46,"{'city': 'Norcross', 'state': 'GA', 'country': 'USA', 'latitude': '33.9412127', 'longitude': '-84.2135309', 'countyFips': '13135'}"
4426512,106791,61,Georgia,SEC,Los Angeles,2023,174,5,40,Warren McClendon,Offensive Tackle,76,306,161,15,56,"{'city': 'Brunswick', 'state': 'GA', 'country': 'USA', 'latitude': '31.1499528', 'longitude': '-81.4914894', 'countyFips': '13127'}"
4427391,106337,61,Georgia,SEC,Seattle,2023,237,7,20,Kenny McIntosh,Running Back,72,204,209,16,47,"{'city': 'Fort Lauderdale', 'state': 'FL', 'country': 'USA', 'latitude': '26.1223084', 'longitude': '-80.1433786', 'countyFips': '12011'}"
