collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade,hometownInfo
3915511,104204,99,LSU,SEC,Cincinnati,2020,1,1,1,Joe Burrow,Quarterback,76,221,2,1,94,"{'city': 'The Plains', 'state': 'OH', 'country': 'USA', 'latitude': '39.3700911', 'longitude': '-82.1323674', 'countyFips': '39009'}"
4242205,104427,99,LSU,SEC,Jacksonville,2020,20,1,20,K'Lavon Chaisson,Outside Linebacker,75,254,19,2,90,"{'city': 'Houston', 'state': 'TX', 'country': 'USA', 'latitude': '29.7589382', 'longitude': '-95.3676974', 'countyFips': '48201'}"
4262921,104360,99,LSU,SEC,Minnesota,2020,22,1,22,Justin Jefferson,Wide Receiver,73,202,14,4,91,"{'city': 'Saint Rose', 'state': 'LA', 'country': 'USA', 'latitude': '38.6820405', 'longitude': '-89.55343803342507', 'countyFips': '17027'}"
4242207,104432,99,LSU,SEC,Baltimore,2020,28,1,28,Patrick Queen,Inside Linebacker,72,229,21,1,90,"{'city': 'Ventress', 'state': 'LA', 'country': 'USA', 'latitude': '30.6818525', 'longitude': '-91.4081679', 'countyFips': '22077'}"
4242214,104430,99,LSU,SEC,Kansas City,2020,32,1,32,Clyde Edwards-Helaire,Running Back,67,207,28,3,88,"{'city': 'Baton Rouge', 'state': 'LA', 'country': 'USA', 'latitude': '30.4459596', 'longitude': '-91.18738', 'countyFips': '22033'}"
4242208,104095,99,LSU,SEC,Cleveland,2020,44,2,12,Grant Delpit,Safety,75,213,35,3,87,"{'city': 'Houston', 'state': 'TX', 'country': 'USA', 'latitude': '29.7589382', 'longitude': '-95.3676974', 'countyFips': '48201'}"
4035433,104102,99,LSU,SEC,Tennessee,2020,61,2,29,Kristian Fulton,Cornerback,72,197,80,10,74,"{'city': 'New Orleans', 'state': 'LA', 'country': 'USA', 'latitude': '29.9499323', 'longitude': '-90.0701156', 'countyFips': '22071'}"
4362647,104517,99,LSU,SEC,Seattle,2020,69,3,5,Damien Lewis,Offensive Guard,74,327,79,2,74,"{'city': 'Canton', 'state': 'MS', 'country': 'USA', 'latitude': '32.6126381', 'longitude': '-90.0367512', 'countyFips': '28089'}"
4035448,104212,99,LSU,SEC,Denver,2020,83,3,19,Lloyd Cushenberry III,Center,75,312,66,2,75,"{'city': 'Carville', 'state': 'LA', 'country': 'USA', 'latitude': '39.0492786', 'longitude': '-76.0038302', 'countyFips': '24035'}"
4242206,104520,99,LSU,SEC,Cleveland,2020,97,3,33,Jacob Phillips,Inside Linebacker,75,229,121,4,65,"{'city': 'Nashville', 'state': 'TN', 'country': 'USA', 'latitude': '36.1622296', 'longitude': '-86.7743531', 'countyFips': '47037'}"
4242230,104477,99,LSU,SEC,Washington,2020,108,4,2,Saahdiq Charles,Offensive Tackle,76,321,84,11,72,"{'city': 'Jackson', 'state': 'MS', 'country': 'USA', 'latitude': '32.2990384', 'longitude': '-90.1847691', 'countyFips': '28049'}"
4035452,104518,99,LSU,SEC,Arizona,2020,131,4,25,Rashard Lawrence,Defensive Tackle,74,308,135,9,61,"{'city': 'Monroe', 'state': 'LA', 'country': 'USA', 'latitude': '32.5093109', 'longitude': '-92.1193012', 'countyFips': '22073'}"
3843470,104462,99,LSU,SEC,Miami,2020,185,6,6,Blake Ferguson,Long Snapper,75,229,276,1,35,"{'city': 'Smyrna', 'state': 'GA', 'country': 'USA', 'latitude': '33.883887', 'longitude': '-84.5147454', 'countyFips': '13067'}"
4035426,104456,99,LSU,SEC,Seattle,2020,251,7,37,Stephen Sullivan,Tight End,77,248,192,12,50,"{'city': 'Donaldsonville', 'state': 'LA', 'country': 'USA', 'latitude': '30.1010324', 'longitude': '-90.9928774', 'countyFips': '22005'}"
