collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade,hometownInfo
511615,46818,97,Louisville,ACC,Miami,2015,14,1,14,DeVante Parker,Wide Receiver,75,209,9.0,3,92,"{'city': 'Louisville', 'state': 'KY', 'country': 'USA', 'latitude': '38.2542376', 'longitude': '-85.759407', 'countyFips': '21111'}"
-1018083,47001,97,Louisville,ACC,Los Angeles,2015,72,3,8,Jamon Brown,Offensive Tackle,76,323,192.0,18,48,"{'city': 'Fern Creek', 'state': 'KY', 'country': 'USA', 'latitude': '38.15979', 'longitude': '-85.5877362', 'countyFips': '21111'}"
-1018093,46979,97,Louisville,ACC,Buffalo,2015,81,3,17,John Miller,Offensive Guard,75,303,170.0,10,51,"{'city': 'Miami', 'state': 'FL', 'country': 'USA', 'latitude': '25.7742658', 'longitude': '-80.1936589', 'countyFips': '12086'}"
-1018092,46926,97,Louisville,ACC,New York,2015,82,3,18,Lorenzo Mauldin,Outside Linebacker,76,259,117.0,12,66,"{'city': 'Atlanta', 'state': 'GA', 'country': 'USA', 'latitude': '33.7490987', 'longitude': '-84.3901849', 'countyFips': '13121'}"
513062,46904,97,Louisville,ACC,Jacksonville,2015,104,4,5,James Sample,Safety,74,209,95.0,4,70,"{'city': 'Sacramento', 'state': 'CA', 'country': 'USA', 'latitude': '38.5815719', 'longitude': '-121.4943996', 'countyFips': '06067'}"
-1018094,47273,97,Louisville,ACC,Tennessee,2015,177,6,1,Deiontrez Mount,Outside Linebacker,77,249,,30,30,"{'city': 'Fort Walton Beach', 'state': 'FL', 'country': 'USA', 'latitude': '30.4057552', 'longitude': '-86.618842', 'countyFips': '12091'}"
511613,46903,97,Louisville,ACC,Cleveland,2015,189,6,13,Charles Gaines,Cornerback,70,180,94.0,13,70,"{'city': 'Miami', 'state': 'FL', 'country': 'USA', 'latitude': '25.7742658', 'longitude': '-80.1936589', 'countyFips': '12086'}"
-1018087,46976,97,Louisville,ACC,Minnesota,2015,193,6,17,B.J. Dubose,Defensive End,76,284,167.0,15,51,"{'city': 'Oakland Park', 'state': 'FL', 'country': 'USA', 'latitude': '26.180144300000002', 'longitude': '-80.13720059548373', 'countyFips': '12011'}"
530356,46943,97,Louisville,ACC,Pittsburgh,2015,239,7,22,Gerod Holliman,Safety,72,218,134.0,12,60,"{'city': 'Miami', 'state': 'FL', 'country': 'USA', 'latitude': '25.7742658', 'longitude': '-80.1936589', 'countyFips': '12086'}"
501524,47062,97,Louisville,ACC,Arizona,2015,256,7,39,Gerald Christian,Tight End,75,244,253.0,15,39,"{'city': 'Palm Beach Gardens', 'state': 'FL', 'country': 'USA', 'latitude': '26.8418256', 'longitude': '-80.13590694666684', 'countyFips': '12099'}"
