collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade,hometownInfo
3115962,51604,130,Michigan,Big Ten,Cleveland,2017,25,1,25,Jabrill Peppers,Safety,71,213,48,7,84,"{'city': 'East Orange', 'state': 'NJ', 'country': 'USA', 'latitude': '40.767323', 'longitude': '-74.2048677', 'countyFips': '34013'}"
546716,51689,130,Michigan,Big Ten,Dallas,2017,28,1,28,Taco Charlton,Defensive End,78,277,38,4,86,"{'city': 'Pickerington', 'state': 'OH', 'country': 'USA', 'latitude': '39.896277299999994', 'longitude': '-82.77319049748806', 'countyFips': '39045'}"
535151,51613,130,Michigan,Big Ten,Baltimore,2017,74,3,10,Chris Wormley,Defensive Tackle,77,298,56,4,80,"{'city': 'Toledo', 'state': 'OH', 'country': 'USA', 'latitude': '41.6786754', 'longitude': '-83.5127283', 'countyFips': '39095'}"
546713,51591,130,Michigan,Big Ten,Dallas,2017,92,3,28,Jourdan Lewis,Cornerback,70,188,35,7,87,"{'city': 'Detroit', 'state': 'MI', 'country': 'USA', 'latitude': '42.3315509', 'longitude': '-83.0466403', 'countyFips': '26163'}"
546720,51694,130,Michigan,Big Ten,Seattle,2017,95,3,31,Delano Hill,Safety,73,216,203,19,49,"{'city': 'Detroit', 'state': 'MI', 'country': 'USA', 'latitude': '42.3315509', 'longitude': '-83.0466403', 'countyFips': '26163'}"
535165,51684,130,Michigan,Big Ten,Seattle,2017,106,3,42,Amara Darboh,Wide Receiver,74,214,112,14,71,"{'city': 'West Des Moines', 'state': 'IA', 'country': 'USA', 'latitude': '41.5645337', 'longitude': '-93.7595281', 'countyFips': '19153'}"
546718,51753,130,Michigan,Big Ten,Minnesota,2017,120,4,14,Ben Gedeon,Inside Linebacker,74,244,99,9,73,"{'city': 'Hudson', 'state': 'OH', 'country': 'USA', 'latitude': '41.240056', 'longitude': '-81.440667', 'countyFips': '39153'}"
535171,51695,130,Michigan,Big Ten,Cincinnati,2017,138,4,32,Ryan Glasgow,Defensive Tackle,75,302,132,11,66,"{'city': 'Aurora', 'state': 'IL', 'country': 'USA', 'latitude': '41.7571701', 'longitude': '-88.3147539', 'countyFips': '17089'}"
535167,51584,130,Michigan,Big Ten,Kansas City,2017,139,4,33,Jehu Chesson,Wide Receiver,75,204,159,21,59,"{'city': 'St. Louis', 'state': 'MO', 'country': 'USA', 'latitude': '38.6268039', 'longitude': '-90.1994097', 'countyFips': '29510'}"
546731,51664,130,Michigan,Big Ten,Denver,2017,145,5,1,Jake Butt,Tight End,78,246,67,5,78,"{'city': 'Pickerington', 'state': 'OH', 'country': 'USA', 'latitude': '39.896277299999994', 'longitude': '-82.77319049748806', 'countyFips': '39045'}"
535149,51687,130,Michigan,Big Ten,New York,2017,197,6,13,Jeremy Clark,Cornerback,75,220,337,33,31,"{'city': 'Madisonville', 'state': 'KY', 'country': 'USA', 'latitude': '37.3280037', 'longitude': '-87.4986989', 'countyFips': '21107'}"
