collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade,hometownInfo
549808,49517,194,Ohio State,Big Ten,Los Angeles,2016,3,1,3,Joey Bosa,Defensive End,77,269,1,1,94,"{'city': 'Fort Lauderdale', 'state': 'FL', 'country': 'USA', 'latitude': '26.1223084', 'longitude': '-80.1433786', 'countyFips': '12011'}"
549811,50025,194,Ohio State,Big Ten,Dallas,2016,4,1,4,Ezekiel Elliott,Running Back,72,225,4,1,93,"{'city': 'St. Louis', 'state': 'MO', 'country': 'USA', 'latitude': '38.6268039', 'longitude': '-90.1994097', 'countyFips': '29510'}"
545623,50243,194,Ohio State,Big Ten,New York,2016,10,1,10,Eli Apple,Cornerback,73,199,25,4,89,"{'city': 'Voorhees', 'state': 'NJ', 'country': 'USA', 'latitude': '39.8512162', 'longitude': '-74.9619779', 'countyFips': '34007'}"
-1027110,49921,194,Ohio State,Big Ten,Detroit,2016,16,1,16,Taylor Decker,Offensive Tackle,79,310,16,4,90,"{'city': 'Vandalia', 'state': 'OH', 'country': 'USA', 'latitude': '39.8906122', 'longitude': '-84.1988308', 'countyFips': '39113'}"
549817,49873,194,Ohio State,Big Ten,New York,2016,20,1,20,Darron Lee,Outside Linebacker,73,232,13,3,91,"{'city': 'New Albany', 'state': 'OH', 'country': 'USA', 'latitude': '40.0811745', 'longitude': '-82.8087864', 'countyFips': '39049'}"
534311,50539,194,Ohio State,Big Ten,New Orleans,2016,47,2,16,Michael Thomas,Wide Receiver,75,212,37,5,86,"{'city': 'Los Angeles', 'state': 'CA', 'country': 'USA', 'latitude': '34.0536909', 'longitude': '-118.2427666', 'countyFips': '06037'}"
549807,50270,194,Ohio State,Big Ten,New Orleans,2016,61,2,30,Vonn Bell,Safety,71,199,30,2,88,"{'city': 'Rossville', 'state': 'GA', 'country': 'USA', 'latitude': '34.983376', 'longitude': '-85.28603', 'countyFips': '13295'}"
534312,49660,194,Ohio State,Big Ten,Buffalo,2016,80,3,17,Adolphus Washington,Defensive Tackle,75,301,77,13,77,"{'city': 'Cincinnati', 'state': 'OH', 'country': 'USA', 'latitude': '39.1014537', 'longitude': '-84.5124602', 'countyFips': '39061'}"
512838,50146,194,Ohio State,Big Ten,Houston,2016,85,3,22,Braxton Miller,Wide Receiver,73,201,51,8,81,"{'city': 'Huber Heights', 'state': 'OH', 'country': 'USA', 'latitude': '39.85902405', 'longitude': '-84.11136295364687', 'countyFips': '39113'}"
514185,50100,194,Ohio State,Big Ten,Seattle,2016,94,3,31,Nick Vannett,Tight End,78,257,58,2,80,"{'city': 'Westerville', 'state': 'OH', 'country': 'USA', 'latitude': '40.126139', 'longitude': '-82.9295287', 'countyFips': '39049'}"
2976306,49761,194,Ohio State,Big Ten,Los Angeles,2016,102,4,4,Joshua Perry,Inside Linebacker,76,254,71,2,78,"{'city': None, 'state': None, 'country': None, 'latitude': None, 'longitude': None, 'countyFips': None}"
534294,49993,194,Ohio State,Big Ten,Buffalo,2016,139,4,41,Cardale Jones,Quarterback,77,253,235,13,47,"{'city': 'Cleveland', 'state': 'OH', 'country': 'USA', 'latitude': '41.5051613', 'longitude': '-81.6934446', 'countyFips': '39035'}"
